time,gFx,gFy,gFz,TgF
15:28:20:2080,-0.5018,0.5776,1.1413,1.374
15:28:20:2090,-0.5031,0.5722,1.1508,1.380
15:28:20:2100,-0.5070,0.5664,1.1635,1.390
15:28:20:2100,-0.5099,0.5605,1.1770,1.400
15:28:20:2150,-0.5109,0.5549,1.1889,1.408
15:28:20:2170,-0.5111,0.5510,1.2014,1.417
15:28:20:2170,-0.5128,0.5478,1.2151,1.428
15:28:20:2180,-0.5155,0.5446,1.2266,1.438
15:28:20:2440,-0.5172,0.5404,1.2339,1.443
15:28:20:2440,-0.5175,0.5358,1.2383,1.445
15:28:20:2450,-0.5141,0.5312,1.2425,1.446
15:28:20:2450,-0.5070,0.5258,1.2471,1.445
15:28:20:2450,-0.4991,0.5197,1.2518,1.444
15:28:20:2460,-0.4908,0.5126,1.2544,1.441
15:28:20:2460,-0.4815,0.5048,1.2535,1.435
15:28:20:2460,-0.4705,0.4969,1.2478,1.423
15:28:20:2470,-0.4591,0.4906,1.2405,1.411
15:28:20:2470,-0.4483,0.4855,1.2315,1.398
15:28:20:2480,-0.4395,0.4811,1.2207,1.384
15:28:20:2480,-0.4312,0.4774,1.2097,1.370
15:28:20:2480,-0.4217,0.4745,1.1987,1.356
15:28:20:2490,-0.4116,0.4723,1.1880,1.343
15:28:20:2490,-0.4021,0.4701,1.1757,1.329
15:28:20:2500,-0.3935,0.4671,1.1618,1.313
15:28:20:2520,-0.3843,0.4630,1.1432,1.292
15:28:20:2590,-0.3728,0.4581,1.1225,1.268
15:28:20:2590,-0.3593,0.4532,1.1031,1.246
15:28:20:2600,-0.3451,0.4473,1.0853,1.224
15:28:20:2600,-0.3322,0.4410,1.0694,1.204
15:28:20:2620,-0.3212,0.4353,1.0555,1.186
15:28:20:2640,-0.3119,0.4287,1.0393,1.167
15:28:20:2660,-0.3036,0.4229,1.0217,1.147
15:28:20:2680,-0.2970,0.4175,1.0046,1.128
15:28:20:2700,-0.2906,0.4133,0.9870,1.109
15:28:20:2720,-0.2850,0.4107,0.9667,1.088
15:28:20:2740,-0.2821,0.4092,0.9489,1.071
15:28:20:2750,-0.2828,0.4087,0.9328,1.057
15:28:20:2780,-0.2872,0.4099,0.9164,1.044
15:28:20:2790,-0.2941,0.4133,0.9005,1.034
15:28:20:2819,-0.3021,0.4182,0.8866,1.026
15:28:20:2829,-0.3112,0.4243,0.8748,1.021
15:28:20:2849,-0.3200,0.4292,0.8636,1.016
15:28:20:2890,-0.3275,0.4331,0.8531,1.011
15:28:20:2900,-0.3359,0.4371,0.8448,1.009
15:28:20:2920,-0.3454,0.4415,0.8367,1.007
15:28:20:2940,-0.3554,0.4463,0.8274,1.005
15:28:20:2950,-0.3649,0.4512,0.8169,1.002
15:28:20:2980,-0.3742,0.4544,0.8066,0.999
15:28:20:3000,-0.3833,0.4564,0.7974,0.995
15:28:20:3020,-0.3926,0.4581,0.7908,0.995
15:28:20:3030,-0.4006,0.4591,0.7888,0.997
15:28:20:3060,-0.4085,0.4595,0.7890,1.000
15:28:20:3080,-0.4163,0.4605,0.7888,1.004
15:28:20:3100,-0.4236,0.4625,0.7883,1.007
15:28:20:3120,-0.4307,0.4642,0.7888,1.012
15:28:20:3140,-0.4388,0.4649,0.7900,1.016
15:28:20:3150,-0.4478,0.4647,0.7915,1.021
15:28:20:3180,-0.4566,0.4647,0.7922,1.026
15:28:20:3200,-0.4654,0.4647,0.7920,1.029
15:28:20:3230,-0.4735,0.4642,0.7917,1.033
15:28:20:3240,-0.4813,0.4637,0.7925,1.037
15:28:20:3270,-0.4894,0.4639,0.7937,1.041
15:28:20:3280,-0.4991,0.4642,0.7952,1.047
15:28:20:3300,-0.5089,0.4639,0.7961,1.053
15:28:20:3320,-0.5172,0.4639,0.7959,1.057
