
time,wx,wy,wz,ax,ay,az,
14:35:44:268,0.03,-0.08,-0.06,0.13,0.14,-0.46,
14:35:44:269,0.02,-0.08,-0.06,0.13,0.14,-0.46,
14:35:44:269,0.02,-0.08,-0.07,0.13,0.14,-0.46,
14:35:44:269,0.02,-0.08,-0.07,0.16,0.07,-0.45,
14:35:44:269,0.01,-0.09,-0.07,0.16,0.07,-0.45,
14:35:44:269,0.01,-0.09,-0.07,0.16,0.07,-0.45,
14:35:44:269,0.01,-0.09,-0.07,0.17,0.01,-0.44,
14:35:44:270,0.00,-0.09,-0.07,0.17,0.01,-0.44,
14:35:44:270,0.00,-0.09,-0.08,0.17,0.01,-0.44,
14:35:44:270,-0.00,-0.09,-0.08,0.17,0.01,-0.44,
14:35:44:270,-0.00,-0.09,-0.08,0.18,-0.01,-0.40,
14:35:44:270,-0.01,-0.09,-0.08,0.18,-0.01,-0.40,
14:35:44:270,-0.01,-0.09,-0.08,0.24,-0.03,-0.40,
14:35:44:270,-0.02,-0.09,-0.09,0.24,-0.03,-0.40,
14:35:44:275,-0.02,-0.10,-0.09,0.24,-0.03,-0.40,
14:35:44:276,-0.02,-0.10,-0.09,0.33,-0.02,-0.41,
14:35:44:276,-0.03,-0.10,-0.09,0.33,-0.02,-0.41,
14:35:44:276,-0.03,-0.11,-0.10,0.33,-0.02,-0.41,
14:35:44:278,-0.03,-0.12,-0.10,0.33,-0.02,-0.41,
14:35:44:279,-0.03,-0.12,-0.10,0.35,0.00,-0.41,
14:35:44:279,-0.04,-0.12,-0.10,0.35,0.00,-0.41,
14:35:44:281,-0.04,-0.12,-0.10,0.35,0.00,-0.41,
14:35:44:282,-0.04,-0.12,-0.10,0.30,0.05,-0.37,
14:35:44:286,-0.05,-0.12,-0.10,0.30,0.05,-0.37,
14:35:44:286,-0.05,-0.13,-0.10,0.30,0.05,-0.37,
14:35:44:287,-0.05,-0.13,-0.10,0.20,0.07,-0.31,
14:35:44:288,-0.05,-0.13,-0.10,0.20,0.07,-0.31,
14:35:44:291,-0.05,-0.13,-0.10,0.09,0.09,-0.26,
14:35:44:292,-0.05,-0.13,-0.10,0.09,0.09,-0.26,
14:35:44:292,-0.05,-0.12,-0.09,0.09,0.09,-0.26,
14:35:44:294,-0.05,-0.12,-0.09,-0.02,0.11,-0.19,
14:35:44:295,-0.05,-0.12,-0.09,-0.02,0.11,-0.19,
14:35:44:296,-0.05,-0.12,-0.09,-0.02,0.11,-0.19,
14:35:44:298,-0.05,-0.11,-0.09,-0.02,0.11,-0.19,
14:35:44:298,-0.05,-0.11,-0.09,-0.10,0.11,-0.11,
14:35:44:306,-0.05,-0.10,-0.09,-0.10,0.11,-0.11,
14:35:44:306,-0.05,-0.09,-0.09,-0.10,0.11,-0.11,
14:35:44:306,-0.05,-0.09,-0.09,-0.12,0.11,-0.05,
14:35:44:306,-0.05,-0.09,-0.09,-0.12,0.11,-0.05,
14:35:44:307,-0.05,-0.08,-0.10,-0.12,0.11,-0.05,
14:35:44:307,-0.05,-0.08,-0.10,-0.04,0.12,-0.02,
14:35:44:308,-0.05,-0.08,-0.10,-0.04,0.12,-0.02,
14:35:44:311,-0.05,-0.08,-0.10,0.06,0.12,-0.01,
14:35:44:311,-0.05,-0.07,-0.10,0.06,0.12,-0.01,
14:35:44:312,-0.04,-0.07,-0.10,0.06,0.12,-0.01,
14:35:44:314,-0.04,-0.07,-0.10,0.14,0.13,-0.02,
14:35:44:314,-0.04,-0.06,-0.10,0.14,0.13,-0.02,
14:35:44:318,-0.05,-0.05,-0.11,0.14,0.13,-0.02,
14:35:44:319,-0.05,-0.05,-0.11,0.20,0.14,-0.01,
14:35:44:319,-0.05,-0.05,-0.11,0.20,0.14,-0.01,
14:35:44:320,-0.05,-0.04,-0.11,0.20,0.14,-0.01,
14:35:44:322,-0.05,-0.04,-0.11,0.19,0.14,-0.01,
14:35:44:322,-0.05,-0.04,-0.11,0.19,0.14,-0.01,
14:35:44:324,-0.05,-0.04,-0.11,0.19,0.14,-0.01,
14:35:44:326,-0.05,-0.04,-0.11,0.13,0.14,-0.01,
14:35:44:326,-0.05,-0.04,-0.11,0.13,0.14,-0.01,
