time,gFx,gFy,gFz,TgF
0.005000,0.6243,0.7514,-0.3434,1.036
0.006000,0.6255,0.7497,-0.3381,1.033
0.006000,0.6262,0.7475,-0.3334,1.031
0.007000,0.6260,0.7455,-0.3288,1.028
0.007000,0.6238,0.7431,-0.3251,1.023
0.007000,0.6204,0.7414,-0.3217,1.019
0.007000,0.6167,0.7406,-0.3185,1.015
0.008000,0.6130,0.7392,-0.3158,1.011
0.008000,0.6096,0.7367,-0.3126,1.006
0.008000,0.6072,0.7353,-0.3087,1.002
0.008000,0.6052,0.7355,-0.3055,1.000
0.008000,0.6030,0.7362,-0.3048,0.999
0.014000,0.6011,0.7360,-0.3051,0.998
0.015000,0.6006,0.7355,-0.3043,0.997
0.015000,0.6011,0.7360,-0.3024,0.997
0.015000,0.6011,0.7365,-0.3019,0.997
0.027000,0.6001,0.7365,-0.3033,0.997
0.027000,0.5979,0.7367,-0.3055,0.997
0.028000,0.5945,0.7367,-0.3077,0.995
0.028000,0.5896,0.7362,-0.3109,0.993
0.028000,0.5849,0.7370,-0.3134,0.992
0.028000,0.5818,0.7384,-0.3139,0.991
0.031000,0.5793,0.7394,-0.3126,0.990
0.031000,0.5769,0.7406,-0.3102,0.989
0.034000,0.5744,0.7426,-0.3075,0.988
0.035000,0.5734,0.7450,-0.3051,0.988
0.038000,0.5734,0.7475,-0.3033,0.990
0.039000,0.5737,0.7497,-0.3004,0.991
0.042000,0.5730,0.7516,-0.2967,0.991
0.042000,0.5717,0.7536,-0.2948,0.991
0.046000,0.5712,0.7553,-0.2945,0.992
0.047000,0.5720,0.7568,-0.2950,0.993
0.050000,0.5737,0.7573,-0.2955,0.995
0.051000,0.5759,0.7573,-0.2963,0.996
0.054000,0.5788,0.7568,-0.2985,0.998
0.055000,0.5813,0.7560,-0.3007,1.000
0.058000,0.5835,0.7548,-0.3021,1.001
0.058000,0.5859,0.7529,-0.3041,1.001
0.062000,0.5888,0.7507,-0.3068,1.002
0.062000,0.5918,0.7480,-0.3085,1.002
0.068000,0.5937,0.7460,-0.3095,1.002
0.068000,0.5947,0.7443,-0.3112,1.002
0.071000,0.5957,0.7431,-0.3143,1.003
0.071000,0.5972,0.7428,-0.3180,1.005
0.075000,0.5986,0.7438,-0.3207,1.007
0.075000,0.6006,0.7450,-0.3214,1.010
0.079000,0.6008,0.7448,-0.3222,1.010
0.079000,0.5996,0.7441,-0.3239,1.009
0.082000,0.5991,0.7448,-0.3251,1.010
0.082000,0.5998,0.7468,-0.3263,1.012
0.087000,0.6011,0.7490,-0.3273,1.015
0.087000,0.6018,0.7502,-0.3280,1.016
0.092000,0.6018,0.7504,-0.3290,1.017
0.092000,0.6003,0.7507,-0.3305,1.016
0.096000,0.5981,0.7512,-0.3319,1.016
0.096000,0.5959,0.7524,-0.3341,1.016
0.098000,0.5947,0.7536,-0.3381,1.018
0.098000,0.5947,0.7543,-0.3420,1.020
0.104000,0.5947,0.7543,-0.3439,1.020
0.104000,0.5942,0.7538,-0.3439,1.020
0.107000,0.5930,0.7538,-0.3434,1.019
0.108000,0.5908,0.7534,-0.3442,1.017
0.111000,0.5886,0.7534,-0.3451,1.016
0.112000,0.5884,0.7546,-0.3459,1.017
0.115000,0.5888,0.7570,-0.3466,1.020
0.115000,0.5901,0.7585,-0.3469,1.022
0.119000,0.5923,0.7585,-0.3454,1.022
0.120000,0.5942,0.7573,-0.3432,1.022
0.122000,0.5947,0.7558,-0.3429,1.021
0.123000,0.5940,0.7551,-0.3442,1.020
0.128000,0.5935,0.7560,-0.3447,1.021
0.128000,0.5945,0.7578,-0.3439,1.023
0.131000,0.5957,0.7585,-0.3425,1.023
0.131000,0.5964,0.7575,-0.3412,1.023
0.135000,0.5969,0.7560,-0.3400,1.022
0.136000,0.5974,0.7556,-0.3381,1.021
0.138000,0.5974,0.7548,-0.3351,1.019
0.139000,0.5959,0.7531,-0.3329,1.016
0.143000,0.5937,0.7519,-0.3322,1.014
0.144000,0.5923,0.7519,-0.3322,1.013
0.147000,0.5910,0.7521,-0.3315,1.012
0.148000,0.5901,0.7521,-0.3290,1.011
0.152000,0.5903,0.7514,-0.3258,1.010
0.152000,0.5903,0.7504,-0.3231,1.008
0.155000,0.5898,0.7502,-0.3219,1.007
0.155000,0.5893,0.7509,-0.3207,1.007
0.159000,0.5886,0.7524,-0.3195,1.007
0.159000,0.5869,0.7526,-0.3183,1.006
0.163000,0.5844,0.7521,-0.3175,1.004
0.163000,0.5827,0.7519,-0.3170,1.003
0.166000,0.5815,0.7519,-0.3168,1.002
0.166000,0.5810,0.7519,-0.3163,1.001
0.175000,0.5800,0.7519,-0.3161,1.001
0.175000,0.5791,0.7514,-0.3161,1.000
0.176000,0.5788,0.7504,-0.3173,0.999
0.176000,0.5800,0.7499,-0.3200,1.001
0.179000,0.5808,0.7504,-0.3219,1.002
0.179000,0.5815,0.7512,-0.3222,1.003
0.182000,0.5822,0.7514,-0.3227,1.004
0.184000,0.5827,0.7516,-0.3246,1.005
0.192000,0.5822,0.7519,-0.3266,1.005
0.193000,0.5815,0.7519,-0.3275,1.005
0.193000,0.5815,0.7521,-0.3278,1.006
0.193000,0.5810,0.7531,-0.3280,1.006
0.196000,0.5810,0.7541,-0.3283,1.007
0.197000,0.5825,0.7546,-0.3280,1.008
0.199000,0.5840,0.7548,-0.3271,1.009
0.200000,0.5857,0.7548,-0.3258,1.009
0.203000,0.5866,0.7551,-0.3246,1.010
0.204000,0.5876,0.7556,-0.3253,1.011
0.209000,0.5881,0.7556,-0.3271,1.012
0.210000,0.5886,0.7556,-0.3288,1.013
0.212000,0.5893,0.7558,-0.3300,1.014
0.212000,0.5893,0.7563,-0.3305,1.014
0.215000,0.5888,0.7565,-0.3310,1.014
0.215000,0.5884,0.7570,-0.3317,1.015
