time,gFx,gFy,gFz,TgF
0.004000,-0.3015,0.3374,0.6059,0.756
0.004000,-0.3029,0.3320,0.6215,0.767
0.005000,-0.3010,0.3256,0.6393,0.778
0.005000,-0.2980,0.3191,0.6611,0.792
0.006000,-0.2934,0.3129,0.6852,0.808
0.006000,-0.2868,0.3073,0.7102,0.825
0.007000,-0.2802,0.2983,0.7368,0.843
0.007000,-0.2739,0.2880,0.7649,0.862
0.007000,-0.2668,0.2792,0.7947,0.884
0.008000,-0.2590,0.2721,0.8262,0.908
0.019000,-0.2499,0.2665,0.8567,0.931
0.019000,-0.2409,0.2602,0.8814,0.950
0.020000,-0.2335,0.2550,0.9024,0.966
0.020000,-0.2257,0.2514,0.9227,0.983
0.020000,-0.2164,0.2489,0.9405,0.997
0.023000,-0.2081,0.2465,0.9542,1.007
0.027000,-0.2006,0.2419,0.9637,1.014
0.027000,-0.1940,0.2382,0.9706,1.018
0.029000,-0.1898,0.2362,0.9725,1.019
0.037000,-0.1869,0.2343,0.9738,1.019
0.037000,-0.1854,0.2340,0.9747,1.019
0.037000,-0.1815,0.2340,0.9777,1.022
0.039000,-0.1752,0.2331,0.9823,1.025
0.041000,-0.1693,0.2321,0.9857,1.027
0.044000,-0.1637,0.2316,0.9874,1.027
0.046000,-0.1583,0.2318,0.9860,1.025
0.054000,-0.1505,0.2306,0.9852,1.023
0.055000,-0.1427,0.2291,0.9852,1.022
0.055000,-0.1392,0.2270,0.9848,1.020
0.056000,-0.1366,0.2250,0.9845,1.019
0.058000,-0.1319,0.2243,0.9857,1.019
0.061000,-0.1263,0.2240,0.9962,1.029
0.063000,-0.1202,0.2226,1.0126,1.044
0.071000,-0.1143,0.2191,1.0238,1.053
0.072000,-0.1085,0.2157,1.0324,1.060
0.072000,-0.1036,0.2140,1.0400,1.067
0.073000,-0.0994,0.2120,1.0480,1.074
0.075000,-0.0965,0.2091,1.0563,1.081
0.078000,-0.0916,0.2057,1.0624,1.086
0.080000,-0.0867,0.2028,1.0710,1.093
0.088000,-0.0818,0.2006,1.0805,1.102
0.089000,-0.0772,0.1979,1.0878,1.108
0.089000,-0.0738,0.1959,1.0927,1.113
0.090000,-0.0699,0.1959,1.0949,1.115
0.092000,-0.0672,0.1969,1.0944,1.114
0.095000,-0.0655,0.1976,1.0927,1.112
