
time,ax,ay,az,wx,wy,wz,
17:41:51:439,-1.16,-0.15,-1.13,0.81,-0.51,-0.98,
17:41:51:440,-1.16,-0.15,-1.13,0.71,-0.62,-0.89,
17:41:51:441,-1.16,-0.15,-1.13,0.61,-0.69,-0.78,
17:41:51:441,-1.33,0.17,-1.37,0.61,-0.69,-0.78,
17:41:51:441,-1.33,0.17,-1.37,0.49,-0.72,-0.66,
17:41:51:442,-1.42,0.37,-1.65,0.49,-0.72,-0.66,
17:41:51:442,-1.29,0.46,-1.91,0.49,-0.72,-0.66,
17:41:51:442,-1.29,0.46,-1.91,0.37,-0.70,-0.54,
17:41:51:449,-1.29,0.46,-1.91,0.24,-0.64,-0.43,
17:41:51:449,-1.05,0.43,-2.18,0.24,-0.64,-0.43,
17:41:51:450,-1.05,0.43,-2.18,0.09,-0.55,-0.33,
17:41:51:450,-0.72,0.29,-2.46,0.09,-0.55,-0.33,
17:41:51:454,-0.72,0.29,-2.46,-0.06,-0.43,-0.25,
17:41:51:455,-0.35,0.09,-2.76,-0.06,-0.43,-0.25,
17:41:51:461,-0.35,0.09,-2.76,-0.22,-0.28,-0.20,
17:41:51:462,0.08,-0.15,-2.75,-0.22,-0.28,-0.20,
17:41:51:465,0.08,-0.15,-2.75,-0.38,-0.15,-0.17,
17:41:51:467,0.45,-0.31,-2.49,-0.38,-0.15,-0.17,
17:41:51:469,0.45,-0.31,-2.49,-0.54,-0.06,-0.16,
17:41:51:470,0.74,-0.44,-2.22,-0.54,-0.06,-0.16,
17:41:51:475,0.74,-0.44,-2.22,-0.70,-0.00,-0.17,
17:41:51:475,0.92,-0.47,-2.10,-0.70,-0.00,-0.17,
17:41:51:479,1.00,-0.44,-2.15,-0.70,-0.00,-0.17,
17:41:51:480,1.00,-0.44,-2.15,-0.86,0.04,-0.18,
17:41:51:484,1.00,-0.44,-2.15,-1.01,0.08,-0.20,
17:41:51:484,1.00,-0.36,-2.23,-1.01,0.08,-0.20,
17:41:51:488,1.00,-0.36,-2.23,-1.16,0.12,-0.22,
17:41:51:489,0.92,-0.21,-2.20,-1.16,0.12,-0.22,
17:41:51:494,0.92,-0.21,-2.20,-1.29,0.16,-0.23,
17:41:51:494,0.86,-0.09,-2.11,-1.29,0.16,-0.23,
17:41:51:498,0.74,0.04,-2.16,-1.29,0.16,-0.23,
17:41:51:499,0.74,0.04,-2.16,-1.42,0.19,-0.23,
17:41:51:503,0.60,0.15,-2.31,-1.42,0.19,-0.23,
17:41:51:503,0.60,0.15,-2.31,-1.53,0.22,-0.23,
17:41:51:508,0.60,0.15,-2.31,-1.62,0.25,-0.22,
