
time,ax,ay,az,wx,wy,wz,
17:10:17:322,-0.58,-0.17,-1.77,0.21,0.00,0.26,
17:10:17:323,-0.54,-0.04,-2.29,0.21,0.00,0.26,
17:10:17:324,-0.54,-0.04,-2.29,0.13,-0.02,0.29,
17:10:17:324,-0.62,0.04,-2.71,0.13,-0.02,0.29,
17:10:17:325,-0.62,0.04,-2.71,0.03,-0.04,0.32,
17:10:17:325,-0.60,0.11,-2.91,0.03,-0.04,0.32,
17:10:17:326,-0.60,0.11,-2.91,-0.08,-0.06,0.34,
17:10:17:326,-0.54,0.17,-2.73,-0.08,-0.06,0.34,
17:10:17:327,-0.54,0.17,-2.73,-0.21,-0.12,0.37,
17:10:17:327,-0.55,0.22,-2.19,-0.21,-0.12,0.37,
17:10:17:327,-0.55,0.22,-2.19,-0.32,-0.22,0.40,
17:10:17:328,-0.71,0.35,-1.41,-0.32,-0.22,0.40,
17:10:17:336,-0.71,0.35,-1.41,-0.43,-0.36,0.43,
17:10:17:338,-0.75,0.48,-0.78,-0.43,-0.36,0.43,
17:10:17:339,-0.75,0.48,-0.78,-0.51,-0.52,0.47,
17:10:17:339,-0.81,0.66,-0.33,-0.51,-0.52,0.47,
17:10:17:339,-0.81,0.66,-0.33,-0.57,-0.66,0.50,
17:10:17:340,-0.81,0.79,-0.18,-0.57,-0.66,0.50,
17:10:17:340,-0.81,0.79,-0.18,-0.63,-0.77,0.53,
17:10:17:341,-0.64,0.83,-0.37,-0.63,-0.77,0.53,
17:10:17:350,-0.64,0.83,-0.37,-0.68,-0.83,0.55,
17:10:17:351,-0.33,0.67,-0.74,-0.68,-0.83,0.55,
17:10:17:351,-0.14,0.46,-1.17,-0.68,-0.83,0.55,
17:10:17:352,-0.14,0.46,-1.17,-0.73,-0.83,0.55,
17:10:17:357,-0.13,0.30,-1.42,-0.73,-0.83,0.55,
17:10:17:358,-0.13,0.30,-1.42,-0.79,-0.78,0.56,
17:10:17:359,-0.13,0.30,-1.42,-0.85,-0.72,0.58,
17:10:17:359,-0.27,0.28,-1.64,-0.85,-0.72,0.58,
17:10:17:365,-0.27,0.28,-1.64,-0.91,-0.67,0.61,
17:10:17:366,-0.37,0.30,-1.78,-0.91,-0.67,0.61,
17:10:17:369,-0.37,0.30,-1.78,-0.98,-0.63,0.66,
17:10:17:370,-0.39,0.29,-1.65,-0.98,-0.63,0.66,
17:10:17:374,-0.39,0.29,-1.65,-1.04,-0.62,0.70,
17:10:17:375,-0.27,0.15,-1.24,-1.04,-0.62,0.70,
17:10:17:380,-0.27,0.15,-1.24,-1.09,-0.61,0.74,
17:10:17:381,-0.17,-0.04,-0.81,-1.09,-0.61,0.74,
17:10:17:384,-0.17,-0.04,-0.81,-1.12,-0.59,0.77,
17:10:17:385,0.03,-0.21,-0.47,-1.12,-0.59,0.77,
17:10:17:393,0.03,-0.21,-0.47,-1.14,-0.59,0.78,
17:10:17:394,0.17,-0.23,-0.43,-1.14,-0.59,0.78,
17:10:17:394,0.17,-0.23,-0.43,-1.14,-0.57,0.79,
17:10:17:395,0.32,-0.18,-0.25,-1.14,-0.57,0.79,
17:10:17:398,0.32,-0.18,-0.25,-1.12,-0.54,0.78,
