
time,ax,ay,az,wx,wy,wz,
17:58:29:316,0.42,-0.10,-2.76,0.20,-0.71,-0.13,
17:58:29:319,0.45,-0.16,-2.85,0.20,-0.71,-0.13,
17:58:29:320,0.45,-0.16,-2.85,0.04,-0.74,-0.13,
17:58:29:320,0.47,-0.15,-2.63,0.04,-0.74,-0.13,
17:58:29:320,0.47,-0.15,-2.63,-0.11,-0.76,-0.14,
17:58:29:321,0.53,-0.03,-2.19,-0.11,-0.76,-0.14,
17:58:29:321,0.53,-0.03,-2.19,-0.24,-0.78,-0.16,
17:58:29:321,0.74,0.11,-1.62,-0.24,-0.78,-0.16,
17:58:29:324,0.74,0.11,-1.62,-0.34,-0.79,-0.18,
17:58:29:325,0.99,0.26,-0.98,-0.34,-0.79,-0.18,
17:58:29:338,0.99,0.26,-0.98,-0.41,-0.82,-0.21,
17:58:29:339,1.09,0.36,-0.31,-0.41,-0.82,-0.21,
17:58:29:339,1.09,0.36,-0.31,-0.46,-0.86,-0.25,
17:58:29:340,1.04,0.36,0.21,-0.46,-0.86,-0.25,
17:58:29:340,1.04,0.36,0.21,-0.49,-0.93,-0.29,
17:58:29:340,0.95,0.44,0.52,-0.49,-0.93,-0.29,
17:58:29:343,0.95,0.44,0.52,-0.51,-0.98,-0.33,
17:58:29:344,1.02,0.55,0.70,-0.51,-0.98,-0.33,
17:58:29:349,1.02,0.55,0.70,-0.50,-1.01,-0.38,
17:58:29:350,1.14,0.62,0.85,-0.50,-1.01,-0.38,
17:58:29:352,1.14,0.62,0.85,-0.48,-1.01,-0.42,
17:58:29:352,1.18,0.61,0.78,-0.48,-1.01,-0.42,
17:58:29:361,1.18,0.61,0.78,-0.47,-0.98,-0.45,
17:58:29:389,1.29,0.55,0.60,-0.47,-0.98,-0.45,
17:58:29:389,1.27,0.49,1.05,-0.47,-0.98,-0.45,
17:58:29:390,1.27,0.49,1.05,-0.48,-0.93,-0.48,
17:58:29:390,1.27,0.49,1.05,-0.47,-0.91,-0.50,
17:58:29:390,0.94,0.57,1.09,-0.47,-0.91,-0.50,
17:58:29:391,0.94,0.57,1.09,-0.43,-0.88,-0.50,
17:58:29:391,0.73,0.74,0.99,-0.43,-0.88,-0.50,
17:58:29:391,0.73,0.74,0.99,-0.37,-0.84,-0.47,
17:58:29:392,0.62,0.88,0.98,-0.37,-0.84,-0.47,
17:58:29:392,0.62,0.88,0.98,-0.31,-0.82,-0.42,
17:58:29:392,0.57,0.92,0.96,-0.31,-0.82,-0.42,
17:58:29:393,0.57,0.92,0.96,-0.25,-0.82,-0.36,
17:58:29:393,0.61,0.89,0.89,-0.25,-0.82,-0.36,
17:58:29:393,0.61,0.89,0.89,-0.19,-0.84,-0.30,
17:58:29:394,0.61,0.82,0.76,-0.19,-0.84,-0.30,
17:58:29:396,0.61,0.82,0.76,-0.14,-0.85,-0.24,
17:58:29:396,0.75,0.75,0.52,-0.14,-0.85,-0.24,
17:58:29:401,0.75,0.75,0.52,-0.08,-0.87,-0.19,
17:58:29:401,0.84,0.70,0.31,-0.08,-0.87,-0.19,
17:58:29:405,0.84,0.70,0.31,-0.03,-0.88,-0.15,
17:58:29:406,0.94,0.66,0.04,-0.03,-0.88,-0.15,
17:58:29:413,0.94,0.66,0.04,0.02,-0.87,-0.12,
17:58:29:413,1.09,0.66,-0.25,0.02,-0.87,-0.12,
17:58:29:417,1.09,0.66,-0.25,0.06,-0.85,-0.10,
17:58:29:418,1.27,0.66,-0.50,0.06,-0.85,-0.10,
17:58:29:419,1.27,0.66,-0.50,0.09,-0.82,-0.10,
17:58:29:420,1.42,0.71,-0.65,0.09,-0.82,-0.10,
17:58:29:426,1.42,0.71,-0.65,0.10,-0.79,-0.11,
17:58:29:426,1.57,0.77,-0.84,0.10,-0.79,-0.11,
17:58:29:441,1.57,0.77,-0.84,0.11,-0.75,-0.12,
17:58:29:442,1.73,0.84,-0.92,0.11,-0.75,-0.12,
17:58:29:442,1.73,0.84,-0.92,0.10,-0.71,-0.15,
17:58:29:442,1.84,0.94,-0.87,0.10,-0.71,-0.15,
17:58:29:443,1.84,0.94,-0.87,0.10,-0.68,-0.19,
17:58:29:443,1.94,1.01,-0.76,0.10,-0.68,-0.19,
17:58:29:445,1.99,1.06,-0.73,0.10,-0.68,-0.19,
17:58:29:446,1.99,1.06,-0.73,0.08,-0.66,-0.23,
17:58:29:450,1.99,1.06,-0.73,0.07,-0.64,-0.28,
17:58:29:451,2.03,1.10,-0.83,0.07,-0.64,-0.28,
17:58:29:454,2.03,1.10,-0.83,0.05,-0.60,-0.34,
17:58:29:455,2.03,1.15,-0.87,0.05,-0.60,-0.34,
17:58:29:459,2.03,1.15,-0.87,0.03,-0.55,-0.40,
