
time,ax,ay,az,wx,wy,wz,
17:25:23:145,-0.24,-0.09,-3.25,0.67,0.08,-0.08,
17:25:23:145,-0.24,-0.09,-3.25,0.46,0.10,-0.07,
17:25:23:146,-0.71,0.22,-3.38,0.46,0.10,-0.07,
17:25:23:146,-0.71,0.22,-3.38,0.23,0.09,-0.04,
17:25:23:146,-0.99,0.22,-3.39,0.23,0.09,-0.04,
17:25:23:147,-0.99,0.22,-3.39,0.01,0.06,0.02,
17:25:23:147,-1.14,0.04,-3.38,0.01,0.06,0.02,
17:25:23:147,-1.14,0.04,-3.38,-0.20,0.03,0.08,
17:25:23:163,-1.18,-0.19,-3.18,-0.20,0.03,0.08,
17:25:23:164,-1.18,-0.19,-3.18,-0.40,0.01,0.15,
17:25:23:164,-1.22,-0.34,-2.85,-0.40,0.01,0.15,
17:25:23:165,-1.22,-0.34,-2.85,-0.59,0.00,0.22,
17:25:23:165,-1.56,-0.57,-2.74,-0.59,0.00,0.22,
17:25:23:166,-1.56,-0.57,-2.74,-0.77,0.02,0.29,
17:25:23:166,-2.03,-0.70,-2.71,-0.77,0.02,0.29,
17:25:23:166,-2.03,-0.70,-2.71,-0.94,0.06,0.38,
17:25:23:171,-2.03,-0.70,-2.71,-1.12,0.14,0.48,
17:25:23:172,-2.54,-0.74,-2.78,-1.12,0.14,0.48,
17:25:23:179,-2.98,-0.67,-2.87,-1.12,0.14,0.48,
17:25:23:180,-2.98,-0.67,-2.87,-1.30,0.24,0.61,
17:25:23:181,-2.98,-0.67,-2.87,-1.48,0.36,0.77,
17:25:23:181,-3.33,-0.61,-2.81,-1.48,0.36,0.77,
17:25:23:185,-3.33,-0.61,-2.81,-1.66,0.46,0.94,
17:25:23:186,-3.46,-0.64,-2.66,-1.66,0.46,0.94,
17:25:23:190,-3.46,-0.64,-2.66,-1.83,0.54,1.12,
17:25:23:191,-3.38,-0.71,-2.48,-1.83,0.54,1.12,
17:25:23:199,-3.38,-0.71,-2.48,-1.99,0.61,1.29,
17:25:23:200,-3.01,-0.88,-2.25,-1.99,0.61,1.29,
17:25:23:201,-3.01,-0.88,-2.25,-2.14,0.64,1.45,
17:25:23:201,-2.57,-1.07,-2.06,-2.14,0.64,1.45,
17:25:23:205,-2.57,-1.07,-2.06,-2.28,0.66,1.59,
17:25:23:206,-2.02,-1.29,-1.87,-2.28,0.66,1.59,
17:25:23:216,-1.61,-1.50,-1.90,-2.28,0.66,1.59,
17:25:23:217,-1.61,-1.50,-1.90,-2.41,0.67,1.72,
17:25:23:217,-1.52,-1.78,-1.95,-2.41,0.67,1.72,
17:25:23:218,-1.52,-1.78,-1.95,-2.53,0.68,1.83,
17:25:23:218,-1.52,-1.78,-1.95,-2.64,0.71,1.93,
17:25:23:219,-1.47,-1.86,-1.46,-2.64,0.71,1.93,
17:25:23:225,-1.47,-1.86,-1.46,-2.73,0.68,2.01,
17:25:23:225,-1.47,-1.70,-0.90,-2.73,0.68,2.01,
17:25:23:228,-1.47,-1.70,-0.90,-2.80,0.60,2.09,
17:25:23:229,-1.50,-1.49,-0.15,-2.80,0.60,2.09,
17:25:23:234,-1.59,-1.37,0.31,-2.80,0.60,2.09,
17:25:23:234,-1.59,-1.37,0.31,-2.85,0.48,2.16,
17:25:23:238,-1.47,-1.27,1.07,-2.85,0.48,2.16,
17:25:23:239,-1.47,-1.27,1.07,-2.89,0.35,2.22,
17:25:23:243,-1.47,-1.27,1.07,-2.89,0.23,2.28,
17:25:23:244,-1.19,-1.21,1.90,-2.89,0.23,2.28,
17:25:23:248,-1.19,-1.21,1.90,-2.86,0.11,2.32,
17:25:23:248,-1.08,-1.31,2.20,-2.86,0.11,2.32,
17:25:23:252,-1.07,-1.35,2.55,-2.86,0.11,2.32,
17:25:23:253,-1.07,-1.35,2.55,-2.80,0.01,2.34,
17:25:23:258,-0.86,-1.26,2.74,-2.80,0.01,2.34,
17:25:23:260,-0.86,-1.26,2.74,-2.71,-0.07,2.35,
17:25:23:262,-0.41,-0.97,3.13,-2.71,-0.07,2.35,
17:25:23:263,-0.41,-0.97,3.13,-2.58,-0.13,2.34,
17:25:23:267,-0.13,-0.93,3.51,-2.58,-0.13,2.34,
17:25:23:268,-0.13,-0.93,3.51,-2.43,-0.17,2.32,
17:25:23:271,-0.13,-0.93,3.51,-2.25,-0.23,2.27,
17:25:23:272,0.23,-1.01,4.91,-2.25,-0.23,2.27,
17:25:23:284,0.18,-0.82,4.11,-2.25,-0.23,2.27,
17:25:23:285,0.18,-0.82,4.11,-2.02,-0.38,2.20,
17:25:23:285,0.15,-0.51,2.26,-2.02,-0.38,2.20,
17:25:23:286,0.15,-0.51,2.26,-1.81,-0.55,2.13,
17:25:23:286,0.48,-0.35,1.66,-1.81,-0.55,2.13,
17:25:23:286,0.48,-0.35,1.66,-1.63,-0.64,2.06,
17:25:23:291,0.91,-0.37,0.88,-1.63,-0.64,2.06,
17:25:23:292,0.91,-0.37,0.88,-1.46,-0.67,1.98,
17:25:23:297,1.15,-0.39,-0.40,-1.46,-0.67,1.98,
17:25:23:298,1.15,-0.39,-0.40,-1.31,-0.62,1.87,
17:25:23:302,1.15,-0.39,-0.40,-1.19,-0.48,1.76,
17:25:23:303,1.31,-0.45,-0.93,-1.19,-0.48,1.76,
17:25:23:322,1.31,-0.45,-0.93,-1.10,-0.32,1.64,
17:25:23:323,1.55,-0.56,-0.35,-1.10,-0.32,1.64,
17:25:23:323,1.78,-0.71,0.43,-1.10,-0.32,1.64,
17:25:23:324,1.78,-0.71,0.43,-1.01,-0.26,1.51,
17:25:23:324,1.78,-0.71,0.43,-0.92,-0.28,1.37,
17:25:23:324,1.88,-0.87,0.88,-0.92,-0.28,1.37,
17:25:23:324,1.88,-0.87,0.88,-0.83,-0.32,1.23,
17:25:23:325,1.87,-0.92,1.04,-0.83,-0.32,1.23,
17:25:23:332,1.87,-0.92,1.04,-0.74,-0.33,1.10,
17:25:23:333,1.82,-0.90,1.14,-0.74,-0.33,1.10,
