
time,ax,ay,az,wx,wy,wz,
17:43:28:241,-0.23,0.29,-0.58,-0.41,-1.01,0.05,
17:43:28:242,-0.23,0.29,-0.58,-0.45,-0.98,0.05,
17:43:28:243,-0.23,0.29,-0.58,-0.48,-0.96,0.03,
17:43:28:244,-0.08,0.15,-0.36,-0.48,-0.96,0.03,
17:43:28:244,-0.08,0.15,-0.36,-0.51,-0.94,0.02,
17:43:28:244,0.01,0.08,-0.29,-0.51,-0.94,0.02,
17:43:28:245,0.08,0.02,-0.22,-0.51,-0.94,0.02,
17:43:28:247,0.08,0.02,-0.22,-0.53,-0.91,0.01,
17:43:28:248,0.08,0.02,-0.22,-0.55,-0.87,-0.00,
17:43:28:248,0.08,-0.03,-0.18,-0.55,-0.87,-0.00,
17:43:28:249,0.08,-0.03,-0.18,-0.56,-0.81,-0.01,
17:43:28:250,0.09,-0.05,-0.04,-0.56,-0.81,-0.01,
17:43:28:266,0.09,-0.05,-0.04,-0.56,-0.73,-0.02,
17:43:28:268,0.15,-0.09,0.20,-0.56,-0.73,-0.02,
17:43:28:269,0.15,-0.09,0.20,-0.55,-0.65,-0.04,
17:43:28:270,0.18,-0.09,0.41,-0.55,-0.65,-0.04,
17:43:28:270,0.18,-0.09,0.41,-0.53,-0.57,-0.05,
17:43:28:270,0.18,-0.04,0.63,-0.53,-0.57,-0.05,
17:43:28:271,0.18,-0.04,0.63,-0.49,-0.50,-0.06,
17:43:28:271,0.10,0.03,0.83,-0.49,-0.50,-0.06,
17:43:28:271,-0.06,-0.12,0.69,-0.49,-0.50,-0.06,
17:43:28:272,-0.06,-0.12,0.69,-0.44,-0.44,-0.07,
17:43:28:275,-0.06,-0.12,0.69,-0.40,-0.35,-0.08,
17:43:28:276,-0.07,-0.18,0.62,-0.40,-0.35,-0.08,
17:43:28:294,-0.07,-0.18,0.62,-0.36,-0.29,-0.09,
17:43:28:295,-0.18,-0.20,0.71,-0.36,-0.29,-0.09,
17:43:28:295,-0.18,-0.20,0.71,-0.32,-0.24,-0.10,
17:43:28:296,-0.31,-0.20,0.62,-0.32,-0.24,-0.10,
17:43:28:296,-0.31,-0.20,0.62,-0.28,-0.20,-0.10,
17:43:28:296,-0.38,-0.18,0.59,-0.28,-0.20,-0.10,
17:43:28:296,-0.38,-0.18,0.59,-0.25,-0.18,-0.09,
17:43:28:297,-0.48,-0.12,0.53,-0.25,-0.18,-0.09,
17:43:28:308,-0.59,-0.07,0.37,-0.25,-0.18,-0.09,
17:43:28:309,-0.59,-0.07,0.37,-0.22,-0.17,-0.08,
17:43:28:309,-0.66,-0.01,0.24,-0.22,-0.17,-0.08,
17:43:28:309,-0.66,-0.01,0.24,-0.19,-0.17,-0.06,
17:43:28:311,-0.66,-0.01,0.24,-0.17,-0.17,-0.04,
17:43:28:311,-0.69,-0.02,0.18,-0.17,-0.17,-0.04,
17:43:28:317,-0.69,-0.02,0.18,-0.15,-0.19,-0.01,
17:43:28:318,-0.69,-0.02,0.14,-0.15,-0.19,-0.01,
17:43:28:320,-0.70,-0.03,0.07,-0.15,-0.19,-0.01,
17:43:28:321,-0.70,-0.03,0.07,-0.13,-0.21,0.02,
17:43:28:324,-0.70,-0.03,0.07,-0.11,-0.23,0.04,
17:43:28:325,-0.71,-0.06,-0.05,-0.11,-0.23,0.04,
17:43:28:330,-0.71,-0.06,-0.05,-0.10,-0.26,0.07,
17:43:28:330,-0.74,-0.09,-0.19,-0.10,-0.26,0.07,
17:43:28:346,-0.78,-0.11,-0.32,-0.10,-0.26,0.07,
17:43:28:347,-0.78,-0.11,-0.32,-0.09,-0.28,0.09,
17:43:28:347,-0.82,-0.09,-0.41,-0.09,-0.28,0.09,
17:43:28:347,-0.82,-0.09,-0.41,-0.08,-0.30,0.11,
17:43:28:347,-0.82,-0.09,-0.41,-0.08,-0.33,0.13,
17:43:28:348,-0.82,-0.07,-0.50,-0.08,-0.33,0.13,
17:43:28:348,-0.82,-0.07,-0.50,-0.09,-0.36,0.15,
