time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.005000,0.2086,-0.1573,-1.6569,1.677
0.005000,0.2361,-0.1657,-1.5106,1.538
0.006000,0.3129,-0.1598,-1.4059,1.449
0.006000,0.2487,-0.0107,-1.3158,1.339
0.013000,0.2956,0.0261,-1.1275,1.166
0.013000,0.3823,0.0119,-0.9616,1.035
0.017000,0.5066,-0.0675,-0.6985,0.866
0.024000,0.6680,-0.1095,-0.4075,0.790
0.026000,0.8180,-0.2052,-0.0838,0.848
0.032000,0.7889,-0.2064,0.2079,0.842
0.036000,0.6472,-0.1662,0.5155,0.844
0.046000,0.4761,-0.1471,0.7771,0.923
0.047000,0.2103,-0.0519,1.0073,1.030
0.050000,0.0051,-0.0864,1.0796,1.083
0.056000,-0.3381,0.1230,1.3085,1.357
0.063000,-0.7194,0.2700,1.5169,1.700
0.065000,-1.0202,0.3227,1.5614,1.893
0.071000,-1.2531,0.3260,1.5451,2.016
0.079000,-1.4878,0.3653,1.4514,2.110
0.080000,-1.6200,0.3541,1.3329,2.128
0.086000,-1.6308,0.2588,1.1560,2.016
0.094000,-1.5827,0.2060,1.0642,1.918
0.094000,-1.5163,0.1715,1.0931,1.877
0.101000,-1.4247,0.1724,1.2493,1.903
0.108000,-1.3398,0.2002,1.3562,1.917
0.109000,-1.2692,0.2168,1.4134,1.912
0.114000,-1.1961,0.2124,1.5069,1.936
0.120000,-1.0580,0.0989,1.4050,1.762
0.123000,-0.8470,0.0054,1.2517,1.511
0.128000,-0.5880,-0.0727,1.1335,1.279
0.133000,-0.3948,-0.1590,1.1703,1.245
0.139000,-0.2095,-0.2366,1.2593,1.298
0.144000,-0.0291,-0.3245,1.3216,1.361
0.148000,0.1178,-0.3889,1.3380,1.398
0.155000,0.2530,-0.4367,1.2989,1.393
0.158000,0.3700,-0.5252,1.2403,1.397
0.164000,0.4093,-0.5511,1.1122,1.307
0.168000,0.4219,-0.5646,0.9385,1.174
0.183000,0.3917,-0.5536,0.7674,1.024
0.184000,0.3501,-0.5393,0.6657,0.925
0.184000,0.2275,-0.4594,0.6236,0.807
0.188000,0.1096,-0.3811,0.5427,0.672
0.193000,-0.0115,-0.3043,0.3798,0.487
0.197000,-0.1029,-0.2674,0.1682,0.332
0.201000,-0.1911,-0.2103,-0.0039,0.284
0.208000,-0.2505,-0.1691,-0.0795,0.313
0.212000,-0.2940,-0.1508,-0.1115,0.349
0.216000,-0.2768,-0.1867,-0.0957,0.347
0.222000,-0.2454,-0.1905,-0.0181,0.311
0.226000,-0.2314,-0.2219,0.0442,0.324
0.230000,-0.1992,-0.2116,0.0793,0.301
0.237000,-0.1442,-0.1762,0.0536,0.234
0.240000,-0.0780,-0.1610,-0.0065,0.179
0.245000,0.0238,-0.1159,-0.0383,0.124
0.250000,0.1403,-0.0980,-0.1924,0.257
0.254000,0.2607,-0.0926,-0.2936,0.403
0.260000,0.3331,-0.0973,-0.3395,0.485
0.264000,0.3866,-0.1240,-0.3298,0.523
0.282000,0.4549,-0.1510,-0.3794,0.611
0.283000,0.4448,-0.1688,-0.3878,0.614
0.283000,0.4305,-0.1869,-0.3884,0.609
0.284000,0.3499,-0.1647,-0.4459,0.590
0.290000,0.2704,-0.1811,-0.5360,0.627
0.294000,0.1991,-0.1835,-0.6899,0.741
0.299000,0.1821,-0.1789,-0.8332,0.871
0.310000,0.2030,-0.1935,-0.9322,0.974
0.311000,0.2690,-0.2078,-0.9586,1.017
0.314000,0.3083,-0.2337,-0.9651,1.040
0.319000,0.3373,-0.2497,-0.9423,1.032
0.324000,0.3387,-0.2701,-0.9240,1.021
0.327000,0.3576,-0.2613,-0.8697,0.976
0.332000,0.3433,-0.2234,-0.8204,0.917
0.339000,0.3171,-0.2019,-0.7810,0.867
0.342000,0.3074,-0.1535,-0.7827,0.855
0.347000,0.3310,-0.1214,-0.7751,0.851
0.355000,0.3448,-0.1126,-0.7847,0.864
0.358000,0.3777,-0.0960,-0.8376,0.924
0.362000,0.3917,-0.1121,-0.8072,0.904
0.367000,0.4490,-0.1060,-0.7817,0.908
0.378000,0.4707,-0.1280,-0.7327,0.880
0.379000,0.4730,-0.1086,-0.6914,0.845
0.383000,0.4273,-0.1100,-0.7032,0.830
0.397000,0.3595,-0.0939,-0.6010,0.707
0.398000,0.2908,-0.0557,-0.5260,0.604
0.398000,0.2399,-0.0168,-0.4592,0.518
0.401000,0.2039,0.0082,-0.4510,0.495
0.409000,0.2191,0.0338,-0.5011,0.548
0.411000,0.2234,0.0504,-0.5926,0.635
0.415000,0.2629,0.0509,-0.5174,0.583
0.421000,0.3086,0.0376,-0.5193,0.605
0.425000,0.3588,0.0201,-0.5073,0.622
0.430000,0.4327,0.0009,-0.4598,0.631
0.434000,0.4735,-0.0344,-0.5106,0.697
0.440000,0.5223,-0.0593,-0.5158,0.737
0.444000,0.4914,-0.0570,-0.4756,0.686
0.449000,0.4621,-0.0609,-0.4710,0.663
0.460000,0.4062,-0.0542,-0.3754,0.556
0.461000,0.3522,-0.0515,-0.3321,0.487
0.466000,0.2951,-0.0479,-0.1956,0.357
