
time,wx,wy,wz,ax,ay,az,
0.004,0.51,0.11,-0.00,0.79,-0.40,-0.45,
0.004,0.51,0.11,-0.00,0.86,-0.37,-0.67,
0.005,0.47,0.09,-0.03,0.86,-0.37,-0.67,
0.005,0.47,0.09,-0.03,0.80,-0.40,-1.00,
0.005,0.42,0.08,-0.06,0.80,-0.40,-1.00,
0.006,0.42,0.08,-0.06,0.66,-0.41,-1.35,
0.006,0.36,0.07,-0.08,0.66,-0.41,-1.35,
0.006,0.36,0.07,-0.08,0.49,-0.40,-1.60,
0.009,0.29,0.07,-0.09,0.49,-0.40,-1.60,
0.01,0.29,0.07,-0.09,0.34,-0.36,-1.73,
0.019,0.22,0.08,-0.10,0.34,-0.36,-1.73,
0.019,0.22,0.08,-0.10,0.25,-0.29,-1.78,
0.02,0.22,0.08,-0.10,0.17,-0.18,-1.78,
0.02,0.15,0.07,-0.11,0.17,-0.18,-1.78,
0.027,0.08,0.07,-0.12,0.17,-0.18,-1.78,
0.027,0.08,0.07,-0.12,0.13,-0.07,-1.68,
0.028,0.01,0.06,-0.13,0.13,-0.07,-1.68,
0.028,0.01,0.06,-0.13,0.05,0.00,-1.56,
0.032,0.01,0.06,-0.13,-0.01,0.02,-1.38,
0.033,-0.05,0.05,-0.14,-0.01,0.02,-1.38,
0.038,-0.12,0.03,-0.14,-0.01,0.02,-1.38,
0.038,-0.12,0.03,-0.14,-0.05,-0.02,-1.18,
0.042,-0.17,0.02,-0.15,-0.05,-0.02,-1.18,
0.042,-0.17,0.02,-0.15,-0.08,-0.10,-0.96,
0.047,-0.23,-0.01,-0.17,-0.08,-0.10,-0.96,
0.048,-0.23,-0.01,-0.17,-0.09,-0.17,-0.72,
0.052,-0.28,-0.06,-0.18,-0.09,-0.17,-0.72,
0.052,-0.28,-0.06,-0.18,-0.16,-0.15,-0.45,
0.056,-0.32,-0.12,-0.19,-0.16,-0.15,-0.45,
0.057,-0.32,-0.12,-0.19,-0.22,-0.16,-0.24,
0.061,-0.37,-0.20,-0.20,-0.22,-0.16,-0.24,
0.061,-0.37,-0.20,-0.20,-0.17,-0.17,-0.01,
0.067,-0.40,-0.27,-0.21,-0.17,-0.17,-0.01,
0.068,-0.40,-0.27,-0.21,-0.18,-0.16,0.19,
0.072,-0.43,-0.35,-0.22,-0.18,-0.16,0.19,
0.072,-0.43,-0.35,-0.22,-0.28,-0.10,0.35,
0.078,-0.44,-0.40,-0.21,-0.28,-0.10,0.35,
0.078,-0.44,-0.40,-0.21,-0.26,-0.04,0.66,
0.088,-0.43,-0.45,-0.21,-0.26,-0.04,0.66,
0.088,-0.43,-0.45,-0.21,-0.21,0.07,0.93,
0.089,-0.40,-0.47,-0.21,-0.21,0.07,0.93,
0.089,-0.40,-0.47,-0.21,-0.02,0.12,1.25,
0.091,-0.35,-0.48,-0.21,-0.02,0.12,1.25,
0.091,-0.35,-0.48,-0.21,0.12,0.13,1.50,
0.096,-0.28,-0.46,-0.21,0.12,0.13,1.50,
0.096,-0.28,-0.46,-0.21,0.31,0.08,1.75,
0.1,-0.28,-0.46,-0.21,0.37,0.02,1.89,
0.101,-0.20,-0.42,-0.23,0.37,0.02,1.89,
0.105,-0.11,-0.37,-0.24,0.37,0.02,1.89,
0.105,-0.11,-0.37,-0.24,0.34,-0.04,2.04,
0.11,-0.02,-0.33,-0.24,0.34,-0.04,2.04,
0.11,-0.02,-0.33,-0.24,0.45,-0.18,2.28,
0.115,0.07,-0.29,-0.26,0.45,-0.18,2.28,
0.115,0.07,-0.29,-0.26,0.52,-0.38,2.47,
0.12,0.16,-0.28,-0.27,0.52,-0.38,2.47,
0.121,0.16,-0.28,-0.27,0.75,-0.61,2.78,
0.124,0.26,-0.30,-0.30,0.75,-0.61,2.78,
0.124,0.26,-0.30,-0.30,0.97,-0.83,3.03,
0.129,0.35,-0.36,-0.34,0.97,-0.83,3.03,
0.129,0.35,-0.36,-0.34,1.12,-0.95,3.02,
0.134,0.43,-0.44,-0.38,1.12,-0.95,3.02,
0.134,0.43,-0.44,-0.38,1.25,-1.00,2.90,
0.139,0.50,-0.54,-0.43,1.25,-1.00,2.90,
0.139,0.50,-0.54,-0.43,1.26,-0.97,2.75,
0.144,0.56,-0.64,-0.47,1.26,-0.97,2.75,
0.144,0.56,-0.64,-0.47,1.22,-0.88,2.57,
0.149,0.61,-0.75,-0.51,1.22,-0.88,2.57,
0.149,0.61,-0.75,-0.51,1.13,-0.76,2.29,
0.155,0.65,-0.85,-0.55,1.13,-0.76,2.29,
0.156,0.65,-0.85,-0.55,1.05,-0.60,1.98,
0.16,0.68,-0.93,-0.58,1.05,-0.60,1.98,
0.161,0.68,-0.93,-0.58,0.94,-0.42,1.58,
0.165,0.71,-0.99,-0.61,0.94,-0.42,1.58,
0.165,0.71,-0.99,-0.61,0.80,-0.25,1.17,
0.168,0.71,-0.99,-0.61,0.65,-0.13,0.83,
0.168,0.73,-1.02,-0.63,0.65,-0.13,0.83,
0.173,0.75,-1.03,-0.65,0.65,-0.13,0.83,
0.174,0.75,-1.03,-0.65,0.48,-0.03,0.51,
0.178,0.77,-1.02,-0.66,0.48,-0.03,0.51,
0.178,0.77,-1.02,-0.66,0.27,0.04,0.25,
0.183,0.79,-0.99,-0.67,0.27,0.04,0.25,
0.184,0.79,-0.99,-0.67,0.07,0.08,0.04,
0.189,0.81,-0.95,-0.67,0.07,0.08,0.04,
0.189,0.81,-0.95,-0.67,-0.14,0.12,-0.17,
0.193,0.82,-0.91,-0.66,-0.14,0.12,-0.17,
0.193,0.82,-0.91,-0.66,-0.37,0.19,-0.39,
0.206,0.84,-0.86,-0.64,-0.37,0.19,-0.39,
0.207,0.84,-0.86,-0.64,-0.63,0.26,-0.62,
0.207,0.83,-0.81,-0.62,-0.63,0.26,-0.62,
0.208,0.83,-0.81,-0.62,-0.81,0.33,-0.81,
0.208,0.82,-0.77,-0.59,-0.81,0.33,-0.81,
0.208,0.82,-0.77,-0.59,-0.97,0.36,-1.00,
0.214,0.80,-0.73,-0.55,-0.97,0.36,-1.00,
0.215,0.80,-0.73,-0.55,-1.11,0.42,-1.15,
0.218,0.76,-0.70,-0.52,-1.11,0.42,-1.15,
0.219,0.76,-0.70,-0.52,-1.21,0.47,-1.25,
0.222,0.73,-0.68,-0.48,-1.21,0.47,-1.25,
0.222,0.73,-0.68,-0.48,-1.28,0.54,-1.28,
0.226,0.69,-0.64,-0.44,-1.28,0.54,-1.28,
0.227,0.69,-0.64,-0.44,-1.32,0.61,-1.28,
0.258,0.65,-0.60,-0.39,-1.32,0.61,-1.28,
0.258,0.65,-0.60,-0.39,-1.33,0.66,-1.20,
0.259,0.62,-0.56,-0.35,-1.33,0.66,-1.20,
0.259,0.62,-0.56,-0.35,-1.35,0.72,-1.07,
0.26,0.60,-0.53,-0.30,-1.35,0.72,-1.07,
0.26,0.60,-0.53,-0.30,-1.31,0.70,-0.89,
0.261,0.58,-0.50,-0.25,-1.31,0.70,-0.89,
0.263,0.58,-0.50,-0.25,-1.28,0.62,-0.65,
0.263,0.58,-0.50,-0.25,-1.24,0.52,-0.41,
0.264,0.58,-0.50,-0.25,-1.20,0.41,-0.17,
0.264,0.56,-0.50,-0.21,-1.20,0.41,-0.17,
0.265,0.54,-0.52,-0.17,-1.20,0.41,-0.17,
0.265,0.54,-0.52,-0.17,-1.15,0.27,0.05,
0.265,0.51,-0.59,-0.14,-1.15,0.27,0.05,
0.266,0.47,-0.67,-0.12,-1.15,0.27,0.05,
0.267,0.47,-0.67,-0.12,-1.07,0.13,0.24,
0.271,0.42,-0.78,-0.11,-1.07,0.13,0.24,
0.272,0.42,-0.78,-0.11,-1.01,-0.01,0.39,
0.276,0.38,-0.89,-0.11,-1.01,-0.01,0.39,
0.276,0.38,-0.89,-0.11,-0.94,-0.08,0.48,
0.281,0.33,-1.02,-0.11,-0.94,-0.08,0.48,
0.281,0.33,-1.02,-0.11,-0.88,-0.11,0.57,
0.286,0.29,-1.14,-0.12,-0.88,-0.11,0.57,
0.287,0.29,-1.14,-0.12,-0.80,-0.13,0.69,
0.291,0.26,-1.27,-0.14,-0.80,-0.13,0.69,
0.291,0.26,-1.27,-0.14,-0.76,-0.10,0.81,
0.296,0.26,-1.27,-0.14,-0.80,0.01,0.87,
0.296,0.24,-1.39,-0.15,-0.80,0.01,0.87,
0.299,0.23,-1.49,-0.15,-0.80,0.01,0.87,
0.3,0.23,-1.49,-0.15,-0.90,0.15,0.85,
0.304,0.23,-1.56,-0.15,-0.90,0.15,0.85,
0.305,0.23,-1.56,-0.15,-0.99,0.24,0.81,
0.309,0.24,-1.61,-0.13,-0.99,0.24,0.81,
0.309,0.24,-1.61,-0.13,-1.11,0.29,0.74,
0.314,0.24,-1.61,-0.13,-1.25,0.36,0.55,
0.315,0.27,-1.62,-0.11,-1.25,0.36,0.55,
0.319,0.27,-1.62,-0.11,-1.40,0.43,0.31,
0.319,0.29,-1.60,-0.07,-1.40,0.43,0.31,
0.323,0.31,-1.53,-0.03,-1.40,0.43,0.31,
0.324,0.31,-1.53,-0.03,-1.57,0.51,0.20,
0.329,0.31,-1.53,-0.03,-1.64,0.50,0.24,
0.33,0.32,-1.44,0.04,-1.64,0.50,0.24,
0.333,0.32,-1.44,0.04,-1.54,0.47,0.53,
0.334,0.33,-1.35,0.11,-1.54,0.47,0.53,
0.338,0.33,-1.35,0.11,-1.45,0.44,0.84,
0.338,0.35,-1.32,0.19,-1.45,0.44,0.84,
0.343,0.35,-1.32,0.19,-1.43,0.31,0.95,
0.343,0.36,-1.33,0.28,-1.43,0.31,0.95,
0.348,0.37,-1.38,0.37,-1.43,0.31,0.95,
0.348,0.37,-1.38,0.37,-1.36,0.08,0.93,
0.353,0.37,-1.38,0.37,-1.20,-0.20,0.87,
0.353,0.37,-1.43,0.46,-1.20,-0.20,0.87,
0.357,0.37,-1.43,0.46,-1.00,-0.50,0.72,
0.357,0.37,-1.48,0.54,-1.00,-0.50,0.72,
0.362,0.37,-1.48,0.54,-0.79,-0.78,0.54,
0.363,0.36,-1.52,0.61,-0.79,-0.78,0.54,
0.367,0.34,-1.56,0.68,-0.79,-0.78,0.54,
0.368,0.34,-1.56,0.68,-0.55,-0.94,0.35,
0.372,0.34,-1.56,0.68,-0.30,-1.05,0.19,
0.372,0.30,-1.60,0.73,-0.30,-1.05,0.19,
0.377,0.30,-1.60,0.73,-0.05,-1.16,0.17,
0.377,0.24,-1.66,0.78,-0.05,-1.16,0.17,
0.382,0.17,-1.74,0.82,-0.05,-1.16,0.17,
0.383,0.17,-1.74,0.82,0.27,-1.36,0.13,
0.387,0.17,-1.74,0.82,0.66,-1.57,0.01,
0.387,0.10,-1.84,0.84,0.66,-1.57,0.01,
0.391,0.01,-1.94,0.84,0.66,-1.57,0.01,
0.392,0.01,-1.94,0.84,1.04,-1.81,-0.04,
0.397,-0.07,-2.05,0.83,1.04,-1.81,-0.04,
0.399,-0.07,-2.05,0.83,1.43,-1.96,-0.11,
0.401,-0.16,-2.14,0.79,1.43,-1.96,-0.11,
0.402,-0.16,-2.14,0.79,1.80,-2.00,-0.28,
0.406,-0.25,-2.21,0.74,1.80,-2.00,-0.28,
0.407,-0.25,-2.21,0.74,2.09,-1.93,-0.42,
0.411,-0.34,-2.26,0.68,2.09,-1.93,-0.42,
0.414,-0.34,-2.26,0.68,2.41,-1.78,-0.58,
0.417,-0.43,-2.29,0.61,2.41,-1.78,-0.58,
0.418,-0.43,-2.29,0.61,2.71,-1.65,-0.68,
0.421,-0.51,-2.28,0.53,2.71,-1.65,-0.68,
0.421,-0.51,-2.28,0.53,2.99,-1.55,-0.67,
0.425,-0.51,-2.28,0.53,3.24,-1.44,-0.64,
0.426,-0.58,-2.27,0.43,3.24,-1.44,-0.64,
0.434,-0.63,-2.24,0.33,3.24,-1.44,-0.64,
0.435,-0.63,-2.24,0.33,3.38,-1.30,-0.68,
0.44,-0.68,-2.20,0.23,3.38,-1.30,-0.68,
0.441,-0.68,-2.20,0.23,3.36,-1.20,-0.81,
0.441,-0.72,-2.15,0.13,3.36,-1.20,-0.81,
0.442,-0.72,-2.15,0.13,3.24,-1.16,-1.03,
0.447,-0.75,-2.07,0.04,3.24,-1.16,-1.03,
0.448,-0.75,-2.07,0.04,3.04,-1.16,-1.24,
0.451,-0.79,-1.96,-0.04,3.04,-1.16,-1.24,
0.452,-0.79,-1.96,-0.04,2.71,-1.16,-1.49,
0.455,-0.82,-1.82,-0.10,2.71,-1.16,-1.49,
0.455,-0.82,-1.82,-0.10,2.49,-1.14,-1.45,
0.459,-0.85,-1.68,-0.15,2.49,-1.14,-1.45,
0.46,-0.85,-1.68,-0.15,2.37,-1.09,-1.07,
