time,gFx,gFy,gFz,TgF
0.005000,-0.2534,0.6290,0.7823,1.035
0.005000,-0.2427,0.6229,0.7880,1.033
0.005000,-0.2334,0.6131,0.7762,1.016
0.006000,-0.2256,0.6022,0.7806,1.011
0.006000,-0.2232,0.5948,0.7867,1.011
0.006000,-0.2219,0.5858,0.7897,1.008
0.009000,-0.2171,0.5819,0.7911,1.006
0.013000,-0.2205,0.5802,0.7860,1.002
0.018000,-0.2188,0.5787,0.7860,1.000
0.030000,-0.2149,0.5812,0.7880,1.002
0.030000,-0.2224,0.5856,0.7845,1.004
0.034000,-0.2302,0.5931,0.7794,1.006
0.040000,-0.2366,0.6014,0.7748,1.009
0.041000,-0.2424,0.6068,0.7689,1.009
0.048000,-0.2490,0.6100,0.7677,1.012
0.052000,-0.2564,0.6139,0.7718,1.019
0.056000,-0.2583,0.6083,0.7806,1.023
0.061000,-0.2476,0.6044,0.7855,1.022
0.067000,-0.2254,0.6053,0.7728,1.007
0.071000,-0.2205,0.6085,0.7740,1.009
0.076000,-0.2236,0.6117,0.7877,1.022
0.082000,-0.2254,0.6107,0.7975,1.029
0.086000,-0.2464,0.6244,0.7853,1.033
0.090000,-0.2529,0.6300,0.7780,1.033
0.096000,-0.2329,0.6146,0.7799,1.020
0.101000,-0.2258,0.6026,0.7797,1.011
0.106000,-0.2451,0.6085,0.7689,1.011
0.109000,-0.2473,0.6078,0.7675,1.010
0.117000,-0.2393,0.6005,0.7748,1.009
0.120000,-0.2302,0.5963,0.7797,1.008
0.138000,-0.2278,0.5961,0.7828,1.010
0.139000,-0.2234,0.5995,0.7850,1.013
0.154000,-0.2241,0.6024,0.7899,1.018
0.154000,-0.2293,0.6046,0.7960,1.026
0.155000,-0.2337,0.6090,0.7941,1.028
0.155000,-0.2359,0.6078,0.7863,1.021
0.155000,-0.2400,0.6073,0.7767,1.015
0.165000,-0.2454,0.6053,0.7718,1.011
0.166000,-0.2498,0.6056,0.7679,1.009
0.168000,-0.2554,0.6029,0.7665,1.008
0.173000,-0.2529,0.6026,0.7631,1.005
0.183000,-0.2527,0.6026,0.7635,1.005
0.183000,-0.2490,0.6009,0.7618,1.002
0.187000,-0.2473,0.5978,0.7621,1.000
0.193000,-0.2488,0.5968,0.7618,0.999
0.197000,-0.2478,0.5968,0.7609,0.998
0.206000,-0.2442,0.5985,0.7584,0.996
0.210000,-0.2420,0.5978,0.7572,0.995
0.213000,-0.2424,0.5975,0.7579,0.995
0.217000,-0.2461,0.6029,0.7574,0.999
0.223000,-0.2752,0.6263,0.7479,1.014
0.227000,-0.2632,0.6222,0.7479,1.008
0.231000,-0.2495,0.6141,0.7479,0.999
0.251000,-0.2512,0.6131,0.7447,0.997
0.252000,-0.2527,0.6085,0.7382,0.989
0.252000,-0.2559,0.6041,0.7428,0.991
0.253000,-0.2600,0.5973,0.7469,0.991
0.256000,-0.2708,0.5978,0.7428,0.991
0.262000,-0.2664,0.5931,0.7301,0.978
0.266000,-0.2669,0.5943,0.7286,0.977
0.272000,-0.2652,0.5956,0.7487,0.993
0.280000,-0.2634,0.5941,0.7452,0.989
0.280000,-0.2581,0.5926,0.7433,0.985
0.300000,-0.2527,0.5970,0.7489,0.991
0.301000,-0.2427,0.5975,0.7491,0.989
0.301000,-0.2285,0.5951,0.7467,0.982
0.302000,-0.2249,0.5963,0.7592,0.991
0.306000,-0.2173,0.5953,0.7738,1.000
0.310000,-0.2090,0.5936,0.7875,1.008
0.314000,-0.1968,0.5919,0.7970,1.012
0.321000,-0.1897,0.5958,0.8151,1.027
0.324000,-0.1704,0.5965,0.8192,1.028
0.332000,-0.1614,0.5990,0.8295,1.036
0.333000,-0.1629,0.6034,0.8353,1.043
0.340000,-0.1653,0.6041,0.8378,1.046
0.347000,-0.1607,0.6024,0.8346,1.042
0.348000,-0.1528,0.5968,0.8383,1.040
0.366000,-0.1484,0.5902,0.8309,1.030
0.367000,-0.1506,0.5787,0.8148,1.011
0.369000,-0.1531,0.5729,0.8221,1.014
0.370000,-0.1484,0.5619,0.8114,0.998
0.373000,-0.1521,0.5572,0.8080,0.993
0.380000,-0.1658,0.5660,0.8180,1.008
0.382000,-0.1746,0.5692,0.8163,1.010
0.388000,-0.1853,0.5816,0.8075,1.012
0.404000,-0.1878,0.5924,0.8107,1.021
0.405000,-0.1907,0.5980,0.8094,1.024
0.406000,-0.1882,0.5975,0.8141,1.027
0.406000,-0.1841,0.5953,0.8231,1.032
0.416000,-0.1775,0.5890,0.8131,1.020
0.416000,-0.1792,0.5843,0.7953,1.003
0.423000,-0.1790,0.5802,0.7948,1.000
0.427000,-0.1790,0.5773,0.8016,1.004
0.431000,-0.1792,0.5760,0.8077,1.008
0.437000,-0.1807,0.5741,0.8094,1.009
0.441000,-0.1829,0.5748,0.8102,1.010
0.446000,-0.1851,0.5729,0.8114,1.010
0.450000,-0.1836,0.5736,0.8146,1.013
0.474000,-0.1831,0.5741,0.8170,1.015
0.475000,-0.1868,0.5741,0.8207,1.019
0.475000,-0.1897,0.5760,0.8190,1.019
0.476000,-0.1926,0.5758,0.8138,1.015
0.476000,-0.1924,0.5746,0.8073,1.009
0.480000,-0.1934,0.5724,0.8021,1.004
0.484000,-0.1951,0.5685,0.7992,1.000
0.489000,-0.1965,0.5709,0.7982,1.001
0.495000,-0.1980,0.5768,0.7938,1.001
0.499000,-0.1970,0.5829,0.7938,1.004
0.506000,-0.1963,0.5819,0.8016,1.010
0.509000,-0.1948,0.5836,0.8073,1.015
0.513000,-0.1873,0.5804,0.8090,1.013
0.519000,-0.1858,0.5785,0.8082,1.011
0.524000,-0.1868,0.5795,0.8107,1.014
0.528000,-0.1814,0.5782,0.8119,1.013
0.533000,-0.1795,0.5787,0.8136,1.014
0.538000,-0.1790,0.5804,0.8129,1.015
0.543000,-0.1770,0.5809,0.8107,1.013
0.548000,-0.1792,0.5816,0.8126,1.015
0.555000,-0.1817,0.5829,0.8143,1.018
0.561000,-0.1770,0.5792,0.8121,1.013
0.562000,-0.1755,0.5763,0.8099,1.009
0.567000,-0.1748,0.5848,0.8092,1.014
0.572000,-0.1746,0.5917,0.8043,1.014
0.577000,-0.1709,0.5900,0.8058,1.013
0.584000,-0.1675,0.5880,0.8109,1.016
0.590000,-0.1670,0.5824,0.8129,1.014
0.591000,-0.1690,0.5797,0.8099,1.010
0.597000,-0.1682,0.5763,0.8065,1.005
0.605000,-0.1760,0.5763,0.8080,1.008
0.608000,-0.1780,0.5758,0.8107,1.010
0.613000,-0.1792,0.5768,0.8129,1.013
0.616000,-0.1821,0.5770,0.8129,1.013
0.622000,-0.1841,0.5770,0.8136,1.014
0.627000,-0.1809,0.5765,0.8153,1.015
0.630000,-0.1797,0.5733,0.8148,1.012
0.638000,-0.1790,0.5731,0.8136,1.011
0.643000,-0.1780,0.5724,0.8102,1.008
0.645000,-0.1790,0.5712,0.8041,1.002
0.650000,-0.1807,0.5709,0.8021,1.001
0.656000,-0.1841,0.5709,0.8002,1.000
0.661000,-0.1878,0.5707,0.7980,0.999
0.664000,-0.1895,0.5699,0.7977,0.999
0.679000,-0.1934,0.5714,0.7992,1.001
0.680000,-0.1980,0.5733,0.7990,1.003
0.681000,-0.2026,0.5716,0.8009,1.005
0.696000,-0.2034,0.5709,0.8058,1.008
0.697000,-0.1997,0.5702,0.8090,1.010
0.697000,-0.1939,0.5699,0.8138,1.012
0.700000,-0.1829,0.5672,0.8136,1.009
0.709000,-0.1719,0.5677,0.8134,1.007
0.710000,-0.1643,0.5682,0.8146,1.007
0.721000,-0.1609,0.5650,0.8170,1.006
0.723000,-0.1609,0.5641,0.8180,1.007
0.723000,-0.1655,0.5699,0.8173,1.010
0.728000,-0.1707,0.5780,0.8187,1.017
0.733000,-0.1699,0.5812,0.8231,1.022
0.738000,-0.1692,0.5804,0.8297,1.027
0.743000,-0.1665,0.5755,0.8329,1.026
0.747000,-0.1655,0.5751,0.8300,1.023
0.755000,-0.1633,0.5724,0.8270,1.019
0.757000,-0.1655,0.5726,0.8261,1.019
0.762000,-0.1707,0.5736,0.8251,1.019
0.767000,-0.1721,0.5719,0.8241,1.018
0.773000,-0.1758,0.5716,0.8182,1.014
0.777000,-0.1782,0.5712,0.8178,1.013
0.782000,-0.1814,0.5719,0.8165,1.013
0.797000,-0.1809,0.5726,0.8175,1.014
0.798000,-0.1826,0.5697,0.8207,1.016
0.798000,-0.1836,0.5694,0.8202,1.015
0.815000,-0.1824,0.5692,0.8212,1.016
0.816000,-0.1829,0.5680,0.8221,1.016
0.816000,-0.1826,0.5668,0.8209,1.014
0.816000,-0.1858,0.5660,0.8170,1.011
0.826000,-0.1880,0.5672,0.8121,1.008
0.827000,-0.1875,0.5665,0.8090,1.005
0.831000,-0.1870,0.5643,0.8055,1.001
0.837000,-0.1892,0.5658,0.8070,1.004
0.840000,-0.1895,0.5675,0.8092,1.006
0.845000,-0.1902,0.5665,0.8109,1.007
0.850000,-0.1914,0.5655,0.8107,1.007
0.856000,-0.1890,0.5655,0.8126,1.008
0.860000,-0.1870,0.5653,0.8141,1.009
0.865000,-0.1863,0.5653,0.8165,1.010
0.871000,-0.1807,0.5643,0.8190,1.011
0.874000,-0.1726,0.5641,0.8182,1.009
0.880000,-0.1716,0.5655,0.8192,1.010
0.896000,-0.1724,0.5653,0.8195,1.010
0.897000,-0.1748,0.5675,0.8209,1.013
0.897000,-0.1775,0.5680,0.8197,1.013
0.913000,-0.1758,0.5680,0.8178,1.011
0.914000,-0.1763,0.5672,0.8175,1.011
0.915000,-0.1758,0.5682,0.8146,1.009
0.916000,-0.1768,0.5682,0.8131,1.008
0.927000,-0.1768,0.5670,0.8114,1.006
0.928000,-0.1751,0.5680,0.8129,1.007
0.928000,-0.1733,0.5670,0.8146,1.008
0.934000,-0.1763,0.5675,0.8170,1.010
0.939000,-0.1773,0.5682,0.8178,1.011
0.944000,-0.1768,0.5672,0.8165,1.010
0.947000,-0.1770,0.5665,0.8160,1.009
0.953000,-0.1758,0.5663,0.8151,1.008
0.957000,-0.1792,0.5677,0.8138,1.008
0.962000,-0.1817,0.5677,0.8148,1.010
0.967000,-0.1846,0.5677,0.8134,1.009
0.973000,-0.1860,0.5668,0.8134,1.009
0.980000,-0.1836,0.5672,0.8138,1.009
0.981000,-0.1814,0.5663,0.8146,1.009
0.997000,-0.1777,0.5668,0.8170,1.010
0.998000,-0.1751,0.5665,0.8151,1.008
0.998000,-0.1755,0.5655,0.8151,1.007
1.015000,-0.1729,0.5648,0.8182,1.009
1.017000,-0.1731,0.5668,0.8182,1.010
1.017000,-0.1731,0.5680,0.8202,1.013
1.018000,-0.1716,0.5665,0.8226,1.013
1.031000,-0.1721,0.5672,0.8219,1.013
1.032000,-0.1721,0.5672,0.8239,1.015
1.032000,-0.1707,0.5668,0.8207,1.012
1.042000,-0.1707,0.5665,0.8202,1.011
1.043000,-0.1697,0.5650,0.8190,1.009
1.045000,-0.1724,0.5655,0.8192,1.010
1.050000,-0.1758,0.5648,0.8192,1.010
1.055000,-0.1765,0.5650,0.8207,1.012
1.060000,-0.1792,0.5650,0.8212,1.013
1.064000,-0.1809,0.5655,0.8180,1.011
1.071000,-0.1841,0.5650,0.8178,1.011
1.074000,-0.1846,0.5641,0.8168,1.010
1.079000,-0.1848,0.5648,0.8134,1.007
1.084000,-0.1829,0.5670,0.8114,1.007
1.089000,-0.1804,0.5663,0.8094,1.004
1.094000,-0.1807,0.5650,0.8080,1.002
1.098000,-0.1826,0.5665,0.8121,1.007
1.112000,-0.1836,0.5641,0.8156,1.008
1.113000,-0.1856,0.5631,0.8202,1.012
1.131000,-0.1856,0.5609,0.8226,1.013
1.132000,-0.1853,0.5575,0.8241,1.012
1.132000,-0.1878,0.5572,0.8256,1.014
1.133000,-0.1878,0.5553,0.8319,1.018
1.134000,-0.1909,0.5577,0.8380,1.025
1.144000,-0.1943,0.5580,0.8449,1.031
1.145000,-0.1919,0.5560,0.8519,1.035
1.156000,-0.1900,0.5572,0.8578,1.040
1.157000,-0.1882,0.5558,0.8583,1.040
1.158000,-0.1878,0.5541,0.8588,1.039
1.162000,-0.1865,0.5550,0.8634,1.043
1.166000,-0.1853,0.5580,0.8688,1.049
1.172000,-0.1799,0.5604,0.8666,1.048
1.176000,-0.1758,0.5638,0.8619,1.045
1.181000,-0.1770,0.5682,0.8629,1.048
1.188000,-0.1712,0.5680,0.8610,1.046
1.194000,-0.1646,0.5677,0.8539,1.039
1.195000,-0.1577,0.5692,0.8436,1.030
1.200000,-0.1541,0.5709,0.8334,1.022
1.211000,-0.1550,0.5753,0.8243,1.017
1.213000,-0.1560,0.5758,0.8151,1.010
1.229000,-0.1570,0.5782,0.8077,1.006
1.230000,-0.1572,0.5807,0.7987,1.000
1.230000,-0.1560,0.5829,0.7924,0.996
1.230000,-0.1572,0.5878,0.7887,0.996
1.241000,-0.1575,0.5878,0.7809,0.990
1.244000,-0.1604,0.5880,0.7706,0.983
1.244000,-0.1653,0.5863,0.7621,0.976
1.250000,-0.1724,0.5858,0.7609,0.976
1.255000,-0.1804,0.5841,0.7628,0.978
1.260000,-0.1851,0.5819,0.7623,0.977
1.264000,-0.1880,0.5790,0.7633,0.976
1.270000,-0.1917,0.5777,0.7692,0.981
1.274000,-0.1951,0.5748,0.7799,0.988
1.279000,-0.1948,0.5719,0.7853,0.991
1.283000,-0.1956,0.5682,0.7865,0.990
1.289000,-0.1987,0.5680,0.7919,0.995
1.294000,-0.1992,0.5653,0.7990,0.999
1.298000,-0.1943,0.5653,0.7999,0.999
1.312000,-0.1914,0.5668,0.8029,1.001
1.313000,-0.1936,0.5692,0.8178,1.015
1.330000,-0.1934,0.5721,0.8422,1.036
1.331000,-0.1878,0.5751,0.8593,1.051
1.331000,-0.1836,0.5753,0.8637,1.054
1.331000,-0.1785,0.5768,0.8629,1.053
1.332000,-0.1809,0.5792,0.8617,1.054
1.344000,-0.1897,0.5807,0.8639,1.058
1.345000,-0.1870,0.5785,0.8595,1.053
1.347000,-0.1753,0.5775,0.8480,1.041
1.357000,-0.1653,0.5751,0.8324,1.025
1.358000,-0.1694,0.5799,0.8156,1.015
1.362000,-0.1838,0.5797,0.7853,0.993
1.366000,-0.1936,0.5807,0.7650,0.980
1.372000,-0.2000,0.5846,0.7570,0.977
1.376000,-0.2083,0.5895,0.7472,0.974
1.381000,-0.2134,0.5958,0.7413,0.975
1.386000,-0.2136,0.6012,0.7320,0.971
1.391000,-0.2158,0.6034,0.7181,0.962
1.395000,-0.2381,0.5909,0.6019,0.876
1.400000,-0.2857,0.5829,0.5138,0.828
1.407000,-0.3113,0.5824,0.6627,0.936
1.410000,-0.2945,0.5792,0.7721,1.009
1.415000,-0.2459,0.5799,0.7682,0.993
1.430000,-0.1931,0.5873,0.7977,1.009
1.430000,-0.1633,0.6012,0.8492,1.053
1.431000,-0.1541,0.6180,0.8898,1.094
1.435000,-0.1526,0.6361,0.9059,1.117
1.443000,-0.1624,0.6495,0.8973,1.120
1.444000,-0.1567,0.6415,0.8949,1.112
1.449000,-0.1252,0.6039,0.9013,1.092
1.454000,-0.1360,0.5851,0.8898,1.074
1.460000,-0.2195,0.6310,0.8568,1.086
1.464000,-0.2175,0.5924,0.8468,1.056
1.470000,-0.2097,0.5672,0.8068,1.008
1.474000,-0.2217,0.5675,0.7650,0.978
1.478000,-0.2278,0.5589,0.7367,0.952
1.483000,-0.2310,0.5453,0.7325,0.942
1.488000,-0.2471,0.5477,0.7484,0.960
1.496000,-0.2615,0.5594,0.7682,0.986
1.498000,-0.2605,0.5712,0.7823,1.003
1.505000,-0.2476,0.5831,0.7911,1.014
