time,ax,ay,az,atotal
0.005449056625366211,-1.73,0.93,2.77,3.39
0.007235050201416016,-1.22,1.57,2.69,3.34
0.01017904281616211,-1.42,2.3,2.41,3.62
0.013425111770629883,-1.62,3.08,2.79,4.46
0.019889116287231445,-1.57,3.59,3.26,5.09
0.02297496795654297,-1.25,3.37,3.03,4.7
0.0253751277923584,-1.4,3.0,1.42,3.6
0.028086185455322266,-1.24,2.6,0.2,2.88
0.030807971954345703,-0.64,2.25,0.08,2.34
0.03217601776123047,-0.95,2.16,0.07,2.36
0.04874610900878906,-2.11,1.91,0.51,2.89
0.050167083740234375,-3.64,1.49,0.95,4.04
0.05306291580200195,-4.69,1.15,1.31,5.0
0.05546212196350098,-4.79,0.92,1.09,4.99
0.06277704238891602,-4.09,0.77,-0.1,4.16
0.06562995910644531,-2.78,0.63,-1.42,3.18
0.06702208518981934,-1.39,0.78,-2.04,2.58
0.07011890411376953,-0.67,1.27,-0.55,1.53
0.07263803482055664,-3.22,1.01,1.73,3.79
0.07504415512084961,-5.98,-0.77,2.75,6.62
0.07764291763305664,-6.86,-2.24,1.66,7.4
0.08042716979980469,-4.86,-2.66,0.11,5.54
0.08184409141540527,-1.86,-1.74,-1.59,3.0
0.09768819808959961,0.4,-0.56,-3.1,3.17
0.10380911827087402,1.66,-0.16,-3.52,3.89
0.10737204551696777,1.49,-0.46,-3.06,3.43
0.10988616943359375,0.2,-1.03,-1.97,2.23
0.11260700225830078,-1.12,-1.38,-0.29,1.8
0.11403512954711914,-2.15,-1.31,1.09,2.74
0.1171870231628418,-2.77,-0.82,1.73,3.36
0.11972904205322266,-2.63,-0.13,1.97,3.28
0.1222541332244873,-1.98,0.53,1.68,2.65
0.12472009658813477,-1.23,1.1,1.13,1.99
0.12715411186218262,-0.56,1.48,0.63,1.7
0.13515710830688477,-0.07,1.64,0.31,1.67
0.13680315017700195,0.2,1.62,0.14,1.63
0.14026713371276855,0.34,1.44,-0.02,1.47
0.14276695251464844,0.47,1.15,-0.22,1.26
0.14547204971313477,0.62,0.81,-0.5,1.13
0.14751505851745605,0.79,0.43,-0.93,1.29
0.15050911903381348,1.26,0.01,-1.33,1.83
0.1530141830444336,1.74,-0.28,-1.86,2.56
0.15546798706054688,1.93,-0.36,-2.1,2.87
0.15818214416503906,1.84,-0.21,-1.9,2.65
0.16518807411193848,1.29,0.01,-1.81,2.22
0.1680889129638672,0.81,-0.19,-1.71,1.9
0.16950607299804688,0.65,-0.6,-1.85,2.05
0.1892242431640625,0.83,-0.98,-2.17,2.52
0.19065308570861816,1.12,-1.24,-2.58,3.07
0.19371604919433594,1.35,-1.27,-3.18,3.68
