time,ax,ay,az,atotal
0.005567789077758789,-0.36,0.08,-0.4,0.54
0.009023904800415039,-0.39,0.02,-0.24,0.45
0.01903557777404785,-0.43,-0.04,-0.03,0.43
0.032834768295288086,-0.39,0.05,-0.14,0.41
0.039319753646850586,-0.38,0.19,-0.26,0.49
0.05359077453613281,-0.42,0.27,-0.28,0.57
0.0699455738067627,-0.45,0.34,-0.31,0.64
0.07263588905334473,-0.49,0.35,-0.36,0.7
0.07925581932067871,-0.51,0.39,-0.4,0.75
0.08972573280334473,-0.52,0.43,-0.43,0.8
0.09978270530700684,-0.52,0.47,-0.49,0.85
0.10973858833312988,-0.52,0.51,-0.51,0.88
0.1244347095489502,-0.53,0.56,-0.5,0.91
0.13028573989868164,-0.55,0.6,-0.54,0.97
0.14336276054382324,-0.53,0.62,-0.58,1.0
0.14982056617736816,-0.48,0.62,-0.58,0.97
0.17187857627868652,-0.41,0.64,-0.51,0.91
0.17461657524108887,-0.33,0.68,-0.5,0.9
0.17951369285583496,-0.3,0.69,-0.6,0.96
0.189666748046875,-0.28,0.72,-0.65,1.0
0.1999986171722412,-0.29,0.77,-0.66,1.05
0.21050071716308594,-0.32,0.87,-0.69,1.15
0.2236325740814209,-0.36,0.99,-0.67,1.24
0.23059678077697754,-0.35,1.13,-0.58,1.31
0.24385976791381836,-0.3,1.25,-0.51,1.38
0.2506096363067627,-0.17,1.35,-0.6,1.48
0.27013564109802246,0.1,1.39,-0.83,1.62
0.27276158332824707,0.48,1.42,-1.16,1.89
0.27985477447509766,0.75,1.62,-1.49,2.32
0.2901597023010254,1.0,1.85,-1.88,2.82
0.3001546859741211,1.14,1.9,-2.16,3.09
0.31020474433898926,1.42,1.9,-2.5,3.44
0.3240227699279785,1.71,1.81,-2.88,3.8
0.3307647705078125,2.06,1.6,-3.3,4.2
0.34418368339538574,2.43,1.12,-4.09,4.88
0.3502328395843506,2.75,0.55,-4.74,5.5
0.3747546672821045,2.86,0.11,-5.09,5.83
0.37744688987731934,2.59,-0.23,-5.47,6.05
0.38027477264404297,2.04,-0.55,-6.02,6.38
0.39064478874206543,1.33,-0.8,-6.42,6.6
0.4004175662994385,0.33,-1.1,-6.54,6.64
0.4103736877441406,-0.8,-1.54,-6.27,6.5
0.4242897033691406,-1.92,-2.04,-5.87,6.5
0.4305737018585205,-3.05,-2.42,-5.67,6.87
0.4412267208099365,-4.39,-3.2,-5.48,7.71
0.4511988162994385,-5.8,-3.79,-4.79,8.42
0.4722115993499756,-7.28,-4.34,-4.31,9.5
0.47483181953430176,-8.92,-5.08,-3.55,10.86
0.48069071769714355,-10.04,-5.36,-2.1,11.57
0.4907987117767334,-10.4,-5.33,-0.85,11.71
0.5009996891021729,-9.98,-4.98,0.19,11.15
0.5114047527313232,-8.62,-4.3,1.52,9.75
0.524437665939331,-6.68,-3.59,3.68,8.42
0.5316345691680908,-4.82,-3.03,6.07,8.32
0.54490065574646,-3.41,-1.97,8.06,8.97
0.5516507625579834,-1.69,-0.94,10.41,10.58
0.5742506980895996,0.76,0.47,13.9,13.92
0.5769336223602295,3.37,1.86,16.98,17.41
0.5814378261566162,6.03,2.71,18.94,20.06
0.5915548801422119,8.2,3.23,19.71,21.59
0.6015677452087402,9.42,2.7,19.77,22.06
0.6115086078643799,9.3,2.03,20.1,22.24
0.6223077774047852,9.15,2.36,18.87,21.1
0.6324427127838135,8.13,2.85,17.06,19.11
0.6421248912811279,6.68,3.21,15.16,16.87
0.6554877758026123,5.59,3.48,12.39,14.03
0.6719338893890381,4.69,3.54,9.7,11.34
0.6745266914367676,4.13,3.37,7.56,9.25
0.6811368465423584,3.97,3.13,5.84,7.72
0.6916167736053467,4.05,3.06,4.22,6.6
0.70139479637146,4.36,3.2,2.81,6.09
0.711620569229126,4.76,3.37,1.86,6.12
