time,ax,ay,az,atotal
0.00481104850769043,-0.04,-0.05,0.06,0.08
0.01584911346435547,-0.08,-0.02,0.09,0.12
0.025031089782714844,-0.08,-0.06,-0.01,0.1
0.04281115531921387,-0.07,-0.1,-0.07,0.14
0.045536041259765625,0.01,-0.07,-0.05,0.08
0.05468416213989258,0.05,-0.04,-0.06,0.08
0.0651540756225586,0.06,-0.01,-0.03,0.06
0.07465004920959473,0.06,-0.04,0.03,0.07
0.08721709251403809,0.06,-0.04,-0.01,0.07
0.09518194198608398,0.07,-0.05,-0.01,0.08
0.10555791854858398,0.04,-0.07,0.05,0.09
0.1156001091003418,0.01,-0.07,0.09,0.11
0.1278371810913086,0.01,-0.08,0.12,0.14
0.1443319320678711,0.06,-0.06,0.08,0.11
0.14690709114074707,0.08,-0.08,0.01,0.11
0.15491008758544922,0.05,-0.1,0.01,0.11
0.16525697708129883,0.01,-0.12,0.02,0.12
0.17531204223632812,-0.02,-0.14,0.0,0.14
0.1848621368408203,-0.02,-0.13,0.06,0.14
0.19979619979858398,-0.06,-0.1,0.12,0.16
0.20538806915283203,-0.04,-0.08,0.1,0.13
0.2188100814819336,-0.01,-0.07,0.1,0.12
0.22535419464111328,-0.03,-0.07,0.06,0.09
0.2449800968170166,-0.03,-0.04,0.02,0.05
0.24755191802978516,-0.03,0.0,0.03,0.04
0.25518321990966797,-0.03,-0.01,0.04,0.05
0.26563501358032227,-0.01,-0.02,0.0,0.02
0.2804379463195801,0.02,0.01,-0.07,0.07
0.2857670783996582,0.0,-0.03,-0.01,0.03
0.29616594314575195,-0.03,-0.03,0.05,0.06
0.30997323989868164,-0.01,-0.02,0.16,0.16
0.31663012504577637,0.03,0.04,0.28,0.28
0.3296222686767578,0.07,0.1,0.24,0.26
0.3433821201324463,0.05,0.1,0.07,0.13
0.3458070755004883,0.02,0.1,-0.01,0.1
0.35596323013305664,-0.06,-0.05,-0.05,0.09
0.3659651279449463,-0.21,-0.12,0.1,0.26
0.37660908699035645,-0.3,0.3,0.6,0.73
0.3910410404205322,-0.26,0.4,0.91,1.02
0.39589905738830566,0.09,0.06,1.33,1.33
0.4104890823364258,0.41,-0.25,1.56,1.63
0.4160740375518799,0.67,-0.49,1.72,1.9
0.42657995223999023,0.84,-0.65,1.58,1.9
0.4438819885253906,0.8,-0.74,1.33,1.71
0.44658994674682617,0.6,-0.86,1.26,1.63
0.4562230110168457,0.36,-0.76,1.31,1.55
0.4665820598602295,0.08,-0.59,1.66,1.76
0.4763479232788086,-0.31,-0.5,1.83,1.92
0.486328125,-0.54,-0.55,1.64,1.81
0.49721407890319824,-0.49,-0.6,1.58,1.75
0.510566234588623,-0.3,-0.39,1.41,1.49
0.5170822143554688,0.1,-0.33,1.26,1.3
0.530184268951416,0.39,-0.46,1.03,1.19
0.5440070629119873,0.63,-0.63,0.7,1.13
0.546654224395752,0.91,-0.56,0.49,1.17
0.5564911365509033,1.09,-0.1,-0.22,1.11
0.5664300918579102,1.17,0.19,-1.18,1.67
0.5775370597839355,1.18,0.34,-0.83,1.48
0.5915532112121582,1.52,0.9,0.12,1.77
0.5972480773925781,2.07,1.12,0.23,2.36
0.6111841201782227,1.86,0.69,0.43,2.02
0.6166961193084717,0.59,0.19,1.04,1.21
0.6316580772399902,-1.45,0.31,0.75,1.66
0.6442961692810059,-3.29,0.2,1.35,3.56
0.647003173828125,-4.75,-0.48,3.18,5.73
0.6567811965942383,-5.8,-1.09,4.19,7.23
0.6671030521392822,-6.05,-1.41,4.03,7.4
0.6767880916595459,-5.23,-1.49,3.69,6.57
0.6872692108154297,-3.38,-0.71,2.63,4.34
0.6975691318511963,-0.91,0.8,1.37,1.82
0.7110872268676758,1.66,1.72,0.96,2.57
0.7176589965820312,3.51,1.52,0.68,3.88
0.7318682670593262,4.5,0.76,0.27,4.57
0.7467422485351562,4.79,-0.16,0.05,4.79
0.749298095703125,4.43,-1.0,-0.31,4.55
0.7571539878845215,3.62,-1.56,-0.79,4.02
0.7675609588623047,2.54,-1.54,-0.76,3.06
0.7772612571716309,1.37,-1.26,0.33,1.89
0.7875499725341797,0.4,-1.32,0.76,1.57
0.8013660907745361,-0.14,-1.74,1.15,2.09
0.8073470592498779,-0.22,-1.4,1.49,2.05
0.8222720623016357,0.48,-0.69,0.36,0.91
0.8274931907653809,1.4,-0.56,-1.01,1.81
0.8463780879974365,1.43,-0.52,-2.11,2.6
0.8492670059204102,0.57,-0.45,-1.7,1.84
0.8575692176818848,-0.66,-0.43,-0.06,0.79
0.8675191402435303,-1.64,-0.34,1.06,1.98
0.8777289390563965,-1.79,-0.34,1.59,2.41
0.8875041007995605,-1.3,-0.61,1.39,1.99
0.9010970592498779,-0.59,-1.12,0.69,1.44
0.9084341526031494,0.1,-1.73,0.82,1.91
0.9219450950622559,0.63,-1.65,0.49,1.83
0.9285192489624023,0.98,-1.07,0.13,1.45
0.9503021240234375,1.06,-1.08,0.04,1.51
0.9533190727233887,0.27,-1.92,-1.21,2.28
0.9578399658203125,-0.97,-3.61,-2.03,4.25
0.9679250717163086,-1.62,-4.87,-1.21,5.27
0.9778521060943604,-2.19,-5.05,-2.31,5.96
0.9879732131958008,-3.56,-5.19,-4.64,7.81
1.0018861293792725,-5.95,-4.27,-5.16,8.95
1.008721113204956,-8.42,-1.07,-5.81,10.28
1.0233922004699707,-8.54,3.12,-6.58,11.22
1.0282001495361328,-6.08,8.2,-5.39,11.54
1.0519652366638184,-2.82,14.5,-5.81,15.87
1.0548100471496582,1.5,21.1,-6.69,22.18
1.0588140487670898,5.22,22.6,-4.54,23.63
1.0702719688415527,5.94,16.77,-1.52,17.85
1.0783021450042725,7.21,11.91,0.19,13.92
1.088487148284912,9.62,10.14,2.25,14.15
1.0990231037139893,11.49,9.23,4.32,15.35
1.1123719215393066,12.51,7.24,5.7,15.53
1.1190142631530762,13.29,4.45,6.12,15.29
1.132284164428711,14.68,1.99,6.48,16.16
1.1481242179870605,16.01,0.18,6.93,17.44
1.150834083557129,15.45,-1.4,8.61,17.74
1.158635139465332,12.57,-1.65,12.82,18.02
1.1688311100006104,8.33,-0.57,16.26,18.27
1.1787080764770508,5.56,0.01,16.49,17.4
1.188554048538208,5.66,1.95,11.9,13.32
1.199465274810791,7.06,5.8,8.07,12.19
1.2130799293518066,6.07,10.69,10.1,15.91
1.2195181846618652,4.31,15.4,14.23,21.4
1.2288930416107178,5.66,14.94,15.51,22.26
1.2484521865844727,9.02,12.57,8.39,17.59
1.2511930465698242,11.58,13.62,-0.42,17.88
1.2589082717895508,12.85,14.5,-5.3,20.08
1.2689621448516846,12.46,14.65,-7.31,20.57
1.27888822555542,9.26,14.52,-8.59,19.24
1.2897300720214844,5.22,14.4,-9.46,18.0
1.3025710582733154,2.34,14.47,-8.33,16.85
1.309751033782959,-0.39,13.42,-4.88,14.28
1.3237619400024414,-4.1,10.94,-2.45,11.93
1.3299460411071777,-8.18,7.81,-1.89,11.46
1.3517820835113525,-10.28,4.46,-2.67,11.51
1.3555850982666016,-8.46,2.28,-4.42,9.81
1.3592171669006348,-4.62,1.41,-5.6,7.39
1.3692750930786133,-1.37,-0.03,-4.91,5.09
1.3793020248413086,0.75,-2.86,-5.34,6.1
1.3939480781555176,1.33,-6.69,-7.26,9.96
1.3995990753173828,1.01,-10.08,-7.7,12.72
1.413365125656128,0.69,-11.63,-7.19,13.69
1.4194860458374023,0.25,-10.75,-6.89,12.77
1.4301440715789795,-1.27,-8.42,-8.29,11.88
1.4474172592163086,-3.13,-6.35,-8.86,11.34
1.4499571323394775,-4.61,-5.11,-7.31,10.03
1.4596800804138184,-6.49,-4.51,-7.37,10.8
1.4697980880737305,-8.87,-4.37,-9.28,13.56
1.4796409606933594,-10.9,-4.87,-11.39,16.5
1.49403715133667,-11.73,-5.39,-11.72,17.43
1.499743938446045,-11.19,-5.06,-11.06,16.52
1.5103991031646729,-9.51,-3.98,-11.13,15.17
1.5199790000915527,-7.69,-3.45,-12.58,15.14
1.533644199371338,-5.79,-6.14,-14.5,16.77
1.5490200519561768,-4.05,-11.92,-15.74,20.15
1.5520410537719727,-5.37,-16.24,-15.17,22.86
1.5598411560058594,-9.26,-13.8,-12.65,20.88
1.570261001586914,-9.34,-0.75,-5.16,10.69
1.58042311668396,-10.51,26.26,8.18,29.44
1.5902791023254395,-9.59,37.52,7.24,39.39
1.6006500720977783,-16.0,1.65,6.13,17.21
1.6150469779968262,-25.2,-25.03,8.41,36.5
1.6212902069091797,-24.88,-30.54,-16.82,42.83
1.630242109298706,-12.45,-18.77,-37.27,43.54
1.6549382209777832,-4.05,-2.33,-1.59,4.93
1.658545970916748,-1.39,12.0,0.19,12.08
1.6610591411590576,4.22,14.62,-21.95,26.7
1.6702661514282227,7.37,3.62,-13.29,15.62
1.6803791522979736,4.07,-6.49,-4.56,8.91
1.6902141571044922,0.65,-8.74,-8.66,12.32
1.7011089324951172,1.29,-4.49,-10.53,11.51
1.7144570350646973,-0.31,0.76,-8.74,8.77
1.7208681106567383,-3.36,5.0,-8.71,10.59
1.7358860969543457,-4.69,5.7,-7.88,10.79
1.7485089302062988,-3.91,5.08,-7.45,9.82
1.751650094985962,-2.51,6.54,-8.22,10.8
1.760472059249878,-1.29,8.89,-9.59,13.14
1.7704792022705078,-1.0,11.64,-9.91,15.31
1.7814631462097168,-0.58,14.47,-6.56,15.89
1.7914221286773682,0.87,18.16,-1.5,18.24
1.804063081741333,3.1,21.58,1.23,21.83
1.8112170696258545,5.56,20.4,5.51,21.85
1.8217072486877441,7.2,16.35,7.64,19.43
1.8312859535217285,9.17,13.44,6.98,17.7
1.8530559539794922,12.7,11.82,7.74,18.99
1.8560070991516113,15.29,9.63,10.93,21.11
1.860788106918335,14.97,3.74,12.7,19.98
1.8708691596984863,14.25,-5.31,13.43,20.28
1.8812980651855469,16.77,-11.17,16.55,26.07
1.8909521102905273,19.89,-8.01,15.37,26.38
1.905090093612671,21.06,-0.65,8.27,22.63
1.911726951599121,19.85,6.09,4.48,21.24
1.9257421493530273,17.27,12.35,2.45,21.37
1.931218147277832,14.76,16.06,2.67,21.97
1.9547162055969238,12.09,16.54,5.27,21.15
1.9578180313110352,10.54,15.1,8.84,20.42
1.961334228515625,10.53,14.47,10.27,20.63
1.9711852073669434,10.11,17.13,4.48,20.38
1.981384038925171,9.87,19.96,-0.67,22.27
1.9924101829528809,9.24,20.2,-2.29,22.33
2.00189208984375,6.8,18.3,-3.25,19.79
2.0153510570526123,2.92,15.67,-5.74,16.94
2.0218820571899414,-1.04,13.49,-6.75,15.12
2.0350611209869385,-4.71,11.57,-4.57,13.3
2.0493080615997314,-7.58,9.27,-3.86,12.58
2.0530941486358643,-9.3,6.67,-3.51,11.97
2.0616350173950195,-9.66,3.95,-1.76,10.58
2.071380138397217,-9.41,1.77,-0.82,9.61
2.0817270278930664,-7.9,2.52,0.06,8.29
2.095644950866699,-6.41,1.81,-0.49,6.67
2.102443218231201,-6.23,-0.85,-3.35,7.12
2.115694999694824,-5.57,-2.95,-5.4,8.29
2.121915102005005,-4.16,-4.41,-6.88,9.16
2.1370081901550293,-2.83,-6.3,-8.26,10.76
2.1496362686157227,-2.06,-8.92,-11.95,15.05
2.152459144592285,-1.71,-11.39,-13.26,17.56
2.162003993988037,-4.01,-11.96,-13.97,18.82
2.1718392372131348,-8.75,-10.29,-16.85,21.59
2.1820311546325684,-11.75,-7.07,-18.79,23.26
2.192662239074707,-11.82,-2.43,-17.77,21.47
2.2020912170410156,-10.82,0.92,-13.47,17.3
2.2164082527160645,-12.11,-0.63,-11.82,16.93
2.221964120864868,-14.33,-7.0,-14.47,21.53
2.232851028442383,-11.22,-13.6,-17.28,24.68
2.256322145462036,-5.96,-15.81,-19.79,26.02
2.259657144546509,-5.6,-14.15,-21.69,26.49
2.2625820636749268,-6.64,-11.91,-21.69,25.62
2.2727670669555664,-7.3,-2.98,-25.17,26.37
2.282755136489868,-8.62,24.84,-16.0,30.77
2.2933270931243896,-7.29,40.05,4.43,40.94
2.302206039428711,-19.24,0.5,6.27,20.24
2.3131279945373535,-25.32,-31.25,-22.15,45.91
2.3229079246520996,-28.74,-31.89,-28.64,51.6
2.333137035369873,-23.28,-12.55,6.38,27.2
2.3553290367126465,-9.59,5.05,-9.05,14.11
2.3585331439971924,2.29,28.33,-19.0,34.18
2.362476110458374,6.12,18.25,-10.72,22.03
2.372498035430908,1.5,-1.9,-14.75,14.94
2.382728099822998,0.5,-8.76,-19.0,20.92
2.3933041095733643,2.69,-4.97,-14.69,15.73
2.4036922454833984,2.64,5.79,-13.01,14.48
2.4167962074279785,1.26,14.53,-11.68,18.68
2.4234819412231445,1.14,22.14,-7.85,23.51
2.436897039413452,1.71,27.75,3.69,28.04
2.4517159461975098,0.73,25.4,8.33,26.74
2.454468250274658,2.24,18.95,8.72,20.97
2.4634170532226562,6.23,16.82,11.31,21.2
2.4732000827789307,10.37,16.2,15.32,24.59
2.483168125152588,13.25,12.97,21.76,28.58
2.492997169494629,12.77,7.08,23.75,27.87
2.502977132797241,11.17,0.34,21.28,24.03
2.51743221282959,11.7,-3.45,18.18,21.89
2.5231289863586426,15.68,-0.51,14.81,21.57
2.533903121948242,18.51,7.9,13.32,24.13
2.558709144592285,18.3,13.04,10.01,24.59
2.5617122650146484,17.65,12.89,9.68,23.9
2.5642600059509277,16.35,11.54,15.06,25.04
2.5733742713928223,14.14,11.68,13.48,22.76
2.583369255065918,12.88,15.11,2.46,20.0
2.5937111377716064,13.51,20.68,-4.66,25.13
2.6039199829101562,11.28,23.88,-2.15,26.49
2.6138861179351807,5.01,22.58,-0.78,23.14
2.6257851123809814,-0.22,18.94,-3.39,19.24
2.6337380409240723,-2.16,16.03,-4.14,16.69
2.6541261672973633,-3.24,14.3,-4.9,15.45
2.6571731567382812,-5.63,12.09,-4.1,13.95
2.663595199584961,-7.47,8.37,-3.81,11.84
2.6736700534820557,-7.46,4.36,-5.01,9.98
2.683670997619629,-6.5,2.84,-5.0,8.67
2.693603992462158,-5.89,2.57,-6.44,9.09
2.709062099456787,-6.14,0.65,-7.81,9.95
2.7139511108398438,-6.24,-1.85,-7.86,10.2
2.724313259124756,-6.69,-4.13,-8.61,11.65
2.734466075897217,-8.08,-6.93,-7.39,12.95
2.755927085876465,-10.22,-11.01,-7.9,16.97
2.7593612670898438,-12.66,-15.1,-10.43,22.29
2.7641141414642334,-14.48,-16.94,-11.11,24.9
2.7740211486816406,-14.32,-15.32,-12.28,24.3
2.784296989440918,-12.89,-11.55,-14.44,22.54
2.797959089279175,-12.05,-6.87,-14.83,20.3
2.8042421340942383,-12.41,-2.72,-13.55,18.57
2.818333148956299,-14.28,-1.45,-12.98,19.35
2.824120044708252,-16.16,-3.64,-13.84,21.58
2.836191177368164,-14.43,-7.52,-14.8,21.99
2.8518030643463135,-9.05,-10.94,-15.83,21.26
2.854532241821289,-3.46,-12.83,-18.46,22.74
2.864319086074829,-1.61,-12.31,-20.46,23.93
2.87519907951355,-4.62,-10.93,-17.92,21.49
2.8889801502227783,-9.29,-10.16,-13.46,19.25
2.8951492309570312,-11.71,-8.67,-8.11,16.67
2.9090709686279297,-0.87,6.58,14.4,15.85
2.9144511222839355,14.66,56.17,21.22,61.8
2.928713083267212,-6.63,42.46,-35.76,55.9
2.9346041679382324,-19.88,-25.66,2.85,32.58
2.9546470642089844,-27.0,-38.44,-1.4,46.99
2.9577291011810303,-24.85,-27.25,-41.25,55.33
2.964708089828491,-15.47,-8.06,-12.03,21.18
2.974534034729004,-11.33,5.99,6.22,14.24
2.984976053237915,-9.85,19.38,-16.71,27.41
2.994709014892578,-1.96,18.54,-17.44,25.52
3.0052261352539062,1.34,5.05,-7.98,9.53
3.0201282501220703,1.51,0.44,-15.14,15.22
3.0256030559539795,6.23,0.87,-17.36,18.46
3.0388641357421875,8.83,5.06,-15.1,18.2
3.0553159713745117,6.19,10.98,-15.34,19.85
3.057953119277954,4.89,18.24,-6.36,19.92
3.065474033355713,3.18,26.42,4.21,26.94
3.0756781101226807,1.15,24.3,5.52,24.94
3.0854129791259766,1.63,17.42,11.66,21.02
3.09696102142334,3.74,14.63,17.99,23.48
3.105052947998047,6.54,11.59,21.5,25.28
3.1157751083374023,9.15,7.38,22.32,25.22
3.129715919494629,11.81,4.12,20.0,23.58
3.1359992027282715,15.86,4.05,17.32,23.83
3.1562962532043457,20.48,6.9,14.14,25.82
3.159426212310791,24.38,10.13,10.79,28.52
3.1653881072998047,25.21,12.58,4.29,28.49
3.177433967590332,23.81,14.03,2.12,27.71
3.185704231262207,21.07,14.37,6.03,26.2
3.195333957672119,16.7,13.98,9.33,23.69
3.2054550647735596,12.56,13.65,8.81,20.53
3.2161731719970703,10.77,15.17,-0.11,18.6
3.230095148086548,13.71,18.55,-10.52,25.35
3.2366220951080322,14.25,19.18,-8.46,25.34
3.2533061504364014,7.32,14.3,0.05,16.06
3.25722599029541,0.43,9.8,1.66,9.94
3.265594005584717,-1.96,7.01,-5.37,9.04
3.275522232055664,-1.01,4.92,-8.49,9.86
3.285658121109009,-0.43,3.57,-6.62,7.53
3.2963972091674805,-1.7,1.56,-6.97,7.34
3.305537223815918,-2.87,-1.33,-7.56,8.19
3.32004714012146,-2.7,-3.26,-6.09,7.41
3.325834274291992,-2.62,-4.13,-6.17,7.87
3.341444969177246,-3.76,-4.11,-6.92,8.88
3.353999137878418,-5.38,-3.38,-6.69,9.22
3.356642246246338,-6.45,-3.0,-6.15,9.4
3.366140127182007,-7.26,-3.38,-7.52,10.98
3.375972270965576,-7.8,-4.38,-11.27,14.38
3.3860580921173096,-7.38,-5.45,-14.48,17.14
3.3963379859924316,-6.83,-6.66,-16.0,18.62
