time,ax,ay,az,atotal
0.005409955978393555,0.31,-0.07,-0.23,0.39
0.014175891876220703,0.27,-0.18,-0.18,0.37
0.024558067321777344,0.16,-0.1,-0.08,0.2
0.04872894287109375,0.12,-0.01,-0.04,0.12
0.05140495300292969,0.19,0.0,0.02,0.19
0.05423402786254883,0.21,-0.03,-0.08,0.22
0.06434202194213867,0.22,-0.07,-0.21,0.31
0.08253598213195801,0.19,-0.19,-0.26,0.37
0.09270715713500977,0.21,-0.12,-0.19,0.3
0.10628890991210938,0.21,-0.07,-0.12,0.25
0.11249589920043945,0.18,-0.08,-0.06,0.2
0.1275169849395752,0.14,-0.06,-0.01,0.15
0.1323070526123047,0.15,-0.06,-0.01,0.16
0.1522669792175293,0.1,-0.08,0.02,0.12
0.15501785278320312,0.03,-0.08,0.09,0.12
0.16265583038330078,-0.03,-0.09,0.09,0.13
0.17248106002807617,-0.08,-0.07,0.12,0.16
0.18286991119384766,-0.12,-0.01,0.09,0.15
0.19339990615844727,-0.09,-0.04,0.01,0.09
0.20278096199035645,-0.01,-0.09,-0.07,0.11
0.21715497970581055,0.05,-0.08,-0.03,0.09
0.22262811660766602,0.04,-0.05,0.04,0.07
0.23331403732299805,0.0,0.03,0.08,0.08
0.25520801544189453,-0.05,0.04,0.08,0.1
0.2583961486816406,-0.07,0.02,-0.01,0.07
0.2629251480102539,-0.11,-0.02,-0.13,0.17
0.272921085357666,-0.14,-0.06,-0.14,0.2
0.28305912017822266,-0.16,-0.05,-0.07,0.18
0.2932901382446289,-0.18,-0.03,-0.02,0.18
0.30254411697387695,-0.18,0.0,-0.03,0.18
0.31694507598876953,-0.21,0.02,-0.02,0.21
0.323138952255249,-0.22,-0.02,-0.01,0.22
0.33733105659484863,-0.18,-0.14,-0.08,0.24
0.3506040573120117,-0.08,-0.24,-0.07,0.26
0.35318994522094727,-0.02,-0.36,-0.09,0.37
0.3633270263671875,0.23,-0.4,0.04,0.46
0.37328195571899414,0.58,-0.38,0.26,0.74
0.38415002822875977,0.83,-0.27,0.39,0.95
0.39706993103027344,1.03,-0.1,0.4,1.1
0.4033951759338379,1.15,0.02,0.63,1.31
0.417402982711792,1.06,0.09,0.89,1.38
0.4235868453979492,0.66,-0.01,0.95,1.15
0.43397998809814453,-0.06,-0.12,1.37,1.37
0.45851612091064453,-0.9,-0.15,2.38,2.54
0.4615139961242676,-1.33,-0.26,2.81,3.11
0.4640989303588867,-0.92,-0.46,2.87,3.04
0.4736781120300293,-0.22,-0.35,2.39,2.42
0.4837031364440918,0.26,-0.15,1.7,1.72
0.4935789108276367,0.39,-0.19,1.25,1.32
0.5036530494689941,0.22,-0.31,0.96,1.03
0.5176100730895996,-0.2,-0.35,0.74,0.84
0.5245060920715332,-0.38,-0.53,0.97,1.16
0.5374300479888916,-0.5,-0.68,1.22,1.48
0.552886962890625,-0.47,-0.71,1.62,1.83
0.5554828643798828,-0.45,-0.82,2.11,2.3
0.5640170574188232,-0.69,-0.93,2.37,2.63
0.5739259719848633,-1.03,-0.82,2.36,2.7
