time,ax,ay,az,atotal
0.022075891494750977,-0.14,0.25,0.0,0.28
0.025289058685302734,0.0,0.23,-0.21,0.31
0.027888774871826172,0.07,0.15,-0.19,0.25
0.031049728393554688,0.07,0.04,-0.01,0.08
0.03760671615600586,0.03,0.05,0.07,0.09
0.04799485206604004,-0.04,0.08,0.1,0.13
0.05816483497619629,-0.09,0.1,0.08,0.15
0.06793880462646484,-0.15,0.12,0.07,0.2
0.07808780670166016,-0.21,0.11,0.03,0.23
0.08777570724487305,-0.21,0.12,-0.03,0.24
0.11060285568237305,-0.2,0.13,-0.06,0.24
0.11315488815307617,-0.2,0.14,-0.06,0.25
0.11810493469238281,-0.16,0.15,-0.07,0.23
0.12830305099487305,-0.11,0.14,-0.11,0.2
0.1378328800201416,-0.11,0.16,-0.21,0.28
0.14839386940002441,-0.11,0.2,-0.29,0.36
0.15841102600097656,-0.1,0.29,-0.36,0.47
0.16865992546081543,-0.15,0.32,-0.45,0.57
0.1826610565185547,-0.22,0.27,-0.48,0.59
0.188385009765625,-0.46,0.16,-0.47,0.67
0.21411705017089844,-0.58,0.06,-0.56,0.8
0.21711397171020508,-0.57,0.09,-0.65,0.86
0.21964073181152344,-0.55,0.18,-0.78,0.97
0.2285919189453125,-0.45,0.28,-0.81,0.96
0.23846101760864258,-0.39,0.29,-0.83,0.96
0.24872303009033203,-0.43,0.31,-0.85,1.0
0.2588820457458496,-0.47,0.25,-0.86,1.01
0.26842689514160156,-0.52,0.29,-0.82,1.01
0.2795877456665039,-0.72,0.48,-0.58,1.04
0.29280591011047363,-0.86,0.63,-0.59,1.21
0.31144094467163086,-0.84,0.59,-0.94,1.39
0.3144378662109375,-0.86,0.55,-1.15,1.53
0.3186817169189453,-0.92,0.53,-1.3,1.67
0.32878875732421875,-1.05,0.5,-1.34,1.77
0.3390159606933594,-1.15,0.56,-1.4,1.89
0.34886884689331055,-1.19,0.82,-1.43,2.03
0.35884785652160645,-1.23,1.18,-1.63,2.35
0.36878395080566406,-1.36,1.49,-1.75,2.67
0.3796248435974121,-1.5,1.69,-1.57,2.75
0.38966989517211914,-1.51,1.75,-1.12,2.56
0.41613292694091797,-1.44,1.74,-0.76,2.38
0.4191107749938965,-1.28,1.75,-0.53,2.23
0.4218177795410156,-0.94,1.66,-0.34,1.93
0.4293248653411865,-0.48,1.71,-0.14,1.78
0.4395279884338379,-0.27,1.69,-0.35,1.74
0.44919586181640625,0.03,1.64,-0.53,1.72
0.4593698978424072,0.22,1.86,-0.67,1.98
0.4689669609069824,0.22,2.12,-1.02,2.36
0.47993898391723633,0.14,2.28,-1.21,2.58
0.49376773834228516,0.04,2.31,-1.32,2.66
0.5124218463897705,-0.11,2.29,-1.48,2.72
0.515049934387207,-0.25,2.25,-1.65,2.8
0.5194687843322754,-0.34,2.12,-1.87,2.84
0.5294618606567383,-0.42,1.99,-2.18,2.98
0.5396928787231445,-0.53,1.87,-2.55,3.2
0.5495657920837402,-0.61,1.58,-3.06,3.49
0.5594830513000488,-0.67,1.29,-3.38,3.67
0.5751357078552246,-0.79,1.52,-2.93,3.39
0.579777717590332,-0.88,1.69,-2.85,3.42
0.5903329849243164,-0.97,1.47,-3.37,3.8
0.6148929595947266,-1.08,1.06,-3.47,3.78
0.6175508499145508,-1.0,0.59,-3.06,3.27
0.6201930046081543,-1.08,0.23,-2.7,2.91
0.6299457550048828,-0.99,-0.17,-2.84,3.01
0.6400127410888672,-0.78,-0.25,-2.75,2.86
0.6500949859619141,-0.72,-0.14,-2.84,2.93
0.6600627899169922,-0.66,-0.18,-3.18,3.25
0.6700189113616943,-0.61,-0.2,-3.47,3.52
0.6843209266662598,-0.47,-0.17,-3.6,3.63
0.6899638175964355,-0.28,-0.23,-3.55,3.56
0.7159469127655029,-0.05,-0.32,-3.47,3.48
0.7186448574066162,0.3,-0.52,-3.52,3.57
0.7211308479309082,0.7,-0.64,-3.43,3.55
0.7302918434143066,1.07,-0.87,-3.56,3.81
0.7402908802032471,1.56,-1.56,-3.99,4.55
0.7501959800720215,1.76,-2.18,-3.4,4.4
0.7605788707733154,1.98,-2.89,-2.28,4.17
0.7701778411865234,2.04,-3.55,-1.63,4.4
0.7806439399719238,1.95,-3.61,-1.41,4.33
0.7910480499267578,2.13,-3.67,-1.31,4.44
0.815281867980957,2.58,-3.97,-1.1,4.86
0.8179869651794434,3.03,-4.23,-0.71,5.25
0.8205947875976562,3.46,-4.29,-0.43,5.52
0.830866813659668,3.62,-4.09,-0.27,5.46
0.840601921081543,3.76,-3.71,-0.16,5.28
0.8505339622497559,3.67,-3.41,0.69,5.05
0.8609099388122559,3.38,-3.63,1.49,5.17
0.8705577850341797,2.9,-3.7,2.13,5.16
0.8807499408721924,2.39,-3.3,2.69,4.88
0.8914508819580078,1.88,-2.73,3.11,4.54
0.9175677299499512,1.45,-2.39,3.49,4.47
0.9202837944030762,1.16,-2.24,3.71,4.48
0.922705888748169,1.03,-2.21,3.96,4.65
0.9309349060058594,1.15,-2.23,4.32,4.99
0.94107985496521,1.41,-2.34,4.58,5.33
0.9509499073028564,1.81,-2.68,4.51,5.54
0.9608960151672363,2.27,-2.89,4.17,5.55
0.9711060523986816,2.73,-2.98,4.03,5.7
0.9817578792572021,3.13,-3.1,4.24,6.11
0.9950659275054932,3.38,-3.15,4.41,6.38
1.0157999992370605,3.58,-3.01,4.44,6.44
1.018399715423584,3.69,-2.65,4.49,6.38
1.0210838317871094,3.63,-2.07,4.5,6.14
1.0312318801879883,3.37,-1.36,4.47,5.76
1.0410809516906738,3.06,-0.48,4.7,5.62
