time,ax,ay,az,wx,wy,wz,Unnamed: 10
10:34:46:359,0.0,0.0,0.0,0.0,0.0,0.0,
10:34:46:360,0.0,0.0,0.0,0.0,0.0,0.0,
10:34:46:360,0.0,0.0,0.0,0.0,0.0,0.0,
10:34:46:361,0.0,0.0,0.0,0.0,0.0,0.0,
10:34:46:447,0.0,0.0,0.0,0.0,0.0,0.0,
10:34:46:449,0.0,0.0,0.0,0.0,0.0,0.0,
10:34:46:451,0.0,0.0,0.0,0.0,0.0,0.0,
10:34:46:452,0.0,0.0,0.0,0.0,0.0,0.0,
10:34:46:453,0.0,0.0,0.0,0.0,0.0,0.0,
10:34:46:454,0.0,0.0,0.0,0.0051,-0.0057,0.0004,
10:34:46:457,-0.0035,0.0042,0.0285,0.0051,-0.0057,0.0004,
10:34:46:503,-0.0035,0.0042,0.0285,0.0051,-0.0057,0.0004,
10:34:46:505,-0.0035,0.0042,0.0285,0.0051,-0.0057,0.0004,
10:34:46:506,-0.0035,0.0042,0.0285,0.0051,-0.0057,0.0004,
10:34:46:509,-0.0035,0.0042,0.0285,0.0063,-0.0118,0.0077,
10:34:46:511,-0.0188,-0.0085,0.0123,0.0063,-0.0118,0.0077,
10:34:46:561,-0.0188,-0.0085,0.0123,0.0063,-0.0118,0.0077,
10:34:46:564,-0.0188,-0.0085,0.0123,0.0063,-0.0118,0.0077,
10:34:46:566,-0.0188,-0.0085,0.0123,0.0063,-0.0118,0.0077,
10:34:46:567,-0.0188,-0.0085,0.0123,0.0214,-0.004,0.0122,
10:34:46:568,-0.0273,-0.0126,-0.0525,0.0214,-0.004,0.0122,
10:34:46:618,-0.0273,-0.0126,-0.0525,0.0214,-0.004,0.0122,
10:34:46:620,-0.0273,-0.0126,-0.0525,0.0214,-0.004,0.0122,
10:34:46:621,-0.0273,-0.0126,-0.0525,0.0214,-0.004,0.0122,
10:34:46:622,-0.0273,-0.0126,-0.0525,-0.0148,0.0037,0.0448,
10:34:46:625,0.0553,0.0601,0.091,-0.0148,0.0037,0.0448,
10:34:46:680,0.0553,0.0601,0.091,-0.0148,0.0037,0.0448,
10:34:46:682,0.0553,0.0601,0.091,-0.0148,0.0037,0.0448,
10:34:46:684,0.0553,0.0601,0.091,-0.0148,0.0037,0.0448,
10:34:46:685,0.0553,0.0601,0.091,-0.0014,0.0021,0.0867,
10:34:46:686,-0.0182,0.0357,-0.0851,-0.0014,0.0021,0.0867,
10:34:46:735,-0.0182,0.0357,-0.0851,-0.0014,0.0021,0.0867,
10:34:46:737,-0.0182,0.0357,-0.0851,-0.0014,0.0021,0.0867,
10:34:46:738,-0.0182,0.0357,-0.0851,-0.0014,0.0021,0.0867,
10:34:46:739,-0.0182,0.0357,-0.0851,0.0112,-0.0049,0.0993,
10:34:46:739,0.0674,-0.0424,0.0859,0.0112,-0.0049,0.0993,
10:34:46:797,0.0674,-0.0424,0.0859,0.0112,-0.0049,0.0993,
10:34:46:799,0.0674,-0.0424,0.0859,0.0112,-0.0049,0.0993,
10:34:46:801,0.0674,-0.0424,0.0859,0.0112,-0.0049,0.0993,
10:34:46:802,0.0674,-0.0424,0.0859,0.0075,0.0053,0.1002,
10:34:46:803,-0.0041,0.0019,-0.1222,0.0075,0.0053,0.1002,
10:34:46:853,-0.0041,0.0019,-0.1222,0.0075,0.0053,0.1002,
10:34:46:855,-0.0041,0.0019,-0.1222,0.0075,0.0053,0.1002,
10:34:46:856,-0.0041,0.0019,-0.1222,0.0075,0.0053,0.1002,
10:34:46:858,-0.0041,0.0019,-0.1222,0.0377,0.0037,-0.0037,
10:34:46:859,-0.0325,-0.1416,0.0123,0.0377,0.0037,-0.0037,
10:34:46:910,-0.0325,-0.1416,0.0123,0.0377,0.0037,-0.0037,
10:34:46:912,-0.0325,-0.1416,0.0123,0.0377,0.0037,-0.0037,
10:34:46:914,-0.0325,-0.1416,0.0123,0.0377,0.0037,-0.0037,
10:34:46:915,-0.0325,-0.1416,0.0123,0.0153,-0.015,-0.0554,
10:34:46:917,-0.0172,0.008,-0.0252,0.0153,-0.015,-0.0554,
10:34:46:968,-0.0172,0.008,-0.0252,0.0153,-0.015,-0.0554,
10:34:46:970,-0.0172,0.008,-0.0252,0.0153,-0.015,-0.0554,
10:34:46:971,-0.0172,0.008,-0.0252,0.0153,-0.015,-0.0554,
10:34:46:972,-0.0172,0.008,-0.0252,0.0079,-0.0118,-0.0191,
10:34:46:973,-0.0049,-0.0099,0.0393,0.0079,-0.0118,-0.0191,
10:34:47:030,-0.0049,-0.0099,0.0393,0.0079,-0.0118,-0.0191,
10:34:47:032,-0.0049,-0.0099,0.0393,0.0079,-0.0118,-0.0191,
10:34:47:034,-0.0049,-0.0099,0.0393,0.0079,-0.0118,-0.0191,
10:34:47:037,-0.0049,-0.0099,0.0393,0.0438,-0.024,-0.0126,
10:34:47:039,-0.0252,0.0396,-0.0713,0.0438,-0.024,-0.0126,
10:34:47:084,-0.0252,0.0396,-0.0713,0.0438,-0.024,-0.0126,
10:34:47:086,-0.0252,0.0396,-0.0713,0.0438,-0.024,-0.0126,
10:34:47:087,-0.0252,0.0396,-0.0713,0.0438,-0.024,-0.0126,
10:34:47:087,-0.0252,0.0396,-0.0713,0.0531,-0.0004,0.0028,
10:34:47:088,0.0123,-0.019,-0.0068,0.0531,-0.0004,0.0028,
10:34:47:142,0.0123,-0.019,-0.0068,0.0531,-0.0004,0.0028,
10:34:47:145,0.0123,-0.019,-0.0068,0.0531,-0.0004,0.0028,
10:34:47:147,0.0123,-0.019,-0.0068,0.0531,-0.0004,0.0028,
10:34:47:148,0.0123,-0.019,-0.0068,0.0719,-0.0615,0.0362,
10:34:47:150,0.061,0.064,0.0772,0.0719,-0.0615,0.0362,
10:34:47:201,0.061,0.064,0.0772,0.0719,-0.0615,0.0362,
10:34:47:203,0.061,0.064,0.0772,0.0719,-0.0615,0.0362,
10:34:47:204,0.061,0.064,0.0772,0.0719,-0.0615,0.0362,
10:34:47:206,0.061,0.064,0.0772,0.1183,-0.1193,0.0171,
10:34:47:208,-0.0674,-0.0478,-0.0762,0.1183,-0.1193,0.0171,
10:34:47:263,-0.0674,-0.0478,-0.0762,0.1183,-0.1193,0.0171,
10:34:47:266,-0.0674,-0.0478,-0.0762,0.1183,-0.1193,0.0171,
10:34:47:268,-0.0674,-0.0478,-0.0762,0.1183,-0.1193,0.0171,
10:34:47:270,-0.0674,-0.0478,-0.0762,0.0548,-0.103,0.055,
10:34:47:272,0.0495,0.033,-0.0131,0.0548,-0.103,0.055,
10:34:47:319,0.0495,0.033,-0.0131,0.0548,-0.103,0.055,
10:34:47:321,0.0495,0.033,-0.0131,0.0548,-0.103,0.055,
10:34:47:321,0.0495,0.033,-0.0131,0.0548,-0.103,0.055,
10:34:47:322,0.0495,0.033,-0.0131,0.0153,-0.0036,0.0729,
10:34:47:326,-0.018,0.0865,-0.0029,0.0153,-0.0036,0.0729,
10:34:47:377,-0.018,0.0865,-0.0029,-0.0173,-0.0004,-0.0025,
10:34:47:381,0.0095,-0.2282,-0.0499,-0.0173,-0.0004,-0.0025,
10:34:47:406,0.0095,-0.2282,-0.0499,-0.0173,-0.0004,-0.0025,
10:34:47:412,0.0095,-0.2282,-0.0499,-0.0173,-0.0004,-0.0025,
10:34:47:415,0.0095,-0.2282,-0.0499,-0.0173,-0.0004,-0.0025,
10:34:47:416,0.0095,-0.2282,-0.0499,-0.0173,-0.0004,-0.0025,
10:34:47:454,0.0095,-0.2282,-0.0499,0.0365,-0.125,0.0285,
10:34:47:456,0.0564,0.1471,0.0785,0.0365,-0.125,0.0285,
10:34:47:494,0.0564,0.1471,0.0785,0.0662,-0.1934,0.0537,
10:34:47:496,0.0564,0.1471,0.0785,0.0662,-0.1934,0.0537,
10:34:47:499,0.0564,0.1471,0.0785,0.0662,-0.1934,0.0537,
10:34:47:501,0.0564,0.1471,0.0785,0.0662,-0.1934,0.0537,
10:34:47:502,0.0564,0.1471,0.0785,0.0662,-0.1934,0.0537,
10:34:47:503,0.0564,0.1471,0.0785,0.0662,-0.1934,0.0537,
10:34:47:505,0.0849,0.1428,0.0469,0.0662,-0.1934,0.0537,
10:34:47:550,0.0849,0.1428,0.0469,0.0462,-0.2761,0.0366,
10:34:47:552,0.0076,0.1144,0.0288,0.0462,-0.2761,0.0366,
10:34:47:581,0.0076,0.1144,0.0288,0.0462,-0.2761,0.0366,
10:34:47:584,0.0076,0.1144,0.0288,0.0462,-0.2761,0.0366,
10:34:47:585,0.0076,0.1144,0.0288,0.0462,-0.2761,0.0366,
10:34:47:587,0.0076,0.1144,0.0288,0.0462,-0.2761,0.0366,
10:34:47:633,0.0253,-0.005,-0.0817,0.0462,-0.2761,0.0366,
10:34:47:634,0.0253,-0.005,-0.0817,0.0645,-0.2077,0.0619,
10:34:47:659,0.0253,-0.005,-0.0817,-0.0637,0.0314,-0.0257,
10:34:47:662,0.0253,-0.005,-0.0817,-0.0637,0.0314,-0.0257,
10:34:47:665,0.0253,-0.005,-0.0817,-0.0637,0.0314,-0.0257,
10:34:47:667,0.0253,-0.005,-0.0817,-0.0637,0.0314,-0.0257,
10:34:47:668,0.0253,-0.005,-0.0817,-0.0637,0.0314,-0.0257,
