
time,ax,ay,az,wx,wy,wz,
15:15:38:420,-0.04,0.28,-0.91,0.03,0.07,0.02,
15:15:38:421,-0.03,0.11,-0.78,0.03,0.07,0.02,
15:15:38:423,-0.03,0.11,-0.78,0.01,0.07,0.02,
15:15:38:424,0.03,0.06,-0.37,0.01,0.07,0.02,
15:15:38:425,0.02,0.03,-0.02,0.01,0.07,0.02,
15:15:38:425,0.02,0.03,-0.02,-0.00,0.08,0.02,
15:15:38:426,-0.05,0.00,0.04,-0.00,0.08,0.02,
15:15:38:426,-0.05,0.00,0.04,-0.01,0.08,0.02,
15:15:38:427,-0.05,0.00,0.04,-0.01,0.07,0.02,
15:15:38:428,-0.06,0.03,0.08,-0.01,0.07,0.02,
15:15:38:429,-0.06,0.03,0.08,-0.01,0.07,0.02,
15:15:38:429,-0.02,0.02,0.14,-0.01,0.07,0.02,
15:15:38:430,-0.02,0.02,0.14,-0.01,0.05,0.02,
15:15:38:430,-0.00,-0.08,0.25,-0.01,0.05,0.02,
15:15:38:436,-0.00,-0.08,0.25,-0.01,0.04,0.02,
15:15:38:437,0.07,-0.11,0.26,-0.01,0.04,0.02,
15:15:38:449,0.10,-0.11,0.39,-0.01,0.04,0.02,
15:15:38:449,0.10,-0.11,0.39,-0.00,0.04,0.01,
15:15:38:450,0.10,-0.11,0.39,0.01,0.03,0.01,
15:15:38:450,0.11,-0.13,0.49,0.01,0.03,0.01,
15:15:38:450,0.11,-0.13,0.49,0.02,0.02,0.00,
15:15:38:451,0.13,-0.15,0.39,0.02,0.02,0.00,
15:15:38:454,0.13,-0.15,0.39,0.03,0.02,-0.00,
15:15:38:455,0.09,-0.08,0.22,0.03,0.02,-0.00,
15:15:38:457,0.09,-0.08,0.22,0.04,0.02,-0.00,
15:15:38:457,-0.08,-0.02,0.11,0.04,0.02,-0.00,
15:15:38:463,-0.08,-0.02,0.11,0.04,0.03,0.01,
15:15:38:463,-0.22,0.07,0.06,0.04,0.03,0.01,
15:15:38:467,-0.22,0.07,0.06,0.05,0.03,0.02,
15:15:38:468,-0.18,0.13,-0.03,0.05,0.03,0.02,
15:15:38:472,-0.18,0.13,-0.03,0.05,0.04,0.03,
15:15:38:472,-0.03,0.13,0.04,0.05,0.04,0.03,
15:15:38:477,-0.03,0.13,0.04,0.06,0.07,0.03,
15:15:38:477,0.09,0.15,0.18,0.06,0.07,0.03,
15:15:38:481,0.09,0.15,0.18,0.07,0.09,0.03,
15:15:38:481,-0.03,-0.04,-0.11,0.07,0.09,0.03,
15:15:38:495,-0.13,-0.22,-0.17,0.07,0.09,0.03,
15:15:38:496,-0.13,-0.22,-0.17,0.07,0.11,0.04,
15:15:38:496,-0.13,-0.22,-0.17,0.06,0.11,0.06,
15:15:38:496,-0.22,-0.42,-0.44,0.06,0.11,0.06,
15:15:38:497,-0.22,-0.42,-0.44,0.05,0.12,0.08,
15:15:38:497,-0.05,-0.39,-0.11,0.05,0.12,0.08,
15:15:38:500,-0.05,-0.39,-0.11,0.07,0.16,0.09,
15:15:38:501,-0.03,-0.15,0.03,0.07,0.16,0.09,
15:15:38:506,-0.03,-0.15,0.03,0.08,0.19,0.10,
15:15:38:508,-0.07,0.03,0.01,0.08,0.19,0.10,
15:15:38:511,-0.03,0.24,0.12,0.08,0.19,0.10,
15:15:38:511,-0.03,0.24,0.12,0.09,0.20,0.11,
15:15:38:516,-0.03,0.24,0.12,0.11,0.21,0.11,
15:15:38:516,-0.04,0.49,0.11,0.11,0.21,0.11,
15:15:38:524,-0.04,0.49,0.11,0.11,0.22,0.11,
15:15:38:525,-0.87,0.56,-0.60,0.11,0.22,0.11,
15:15:38:525,-0.89,0.35,-0.16,0.11,0.22,0.11,
15:15:38:525,-0.89,0.35,-0.16,0.09,0.21,0.14,
15:15:38:530,-0.79,0.06,-0.38,0.09,0.21,0.14,
15:15:38:530,-0.79,0.06,-0.38,0.08,0.18,0.17,
15:15:38:536,-0.79,0.06,-0.38,0.05,0.15,0.19,
15:15:38:536,-0.64,-0.16,-0.41,0.05,0.15,0.19,
15:15:38:541,-0.64,-0.16,-0.41,0.03,0.12,0.20,
15:15:38:542,-0.13,-0.15,-0.02,0.03,0.12,0.20,
15:15:38:546,0.09,-0.04,-0.09,0.03,0.12,0.20,
15:15:38:547,0.09,-0.04,-0.09,0.02,0.10,0.20,
15:15:38:550,0.09,-0.04,-0.09,0.00,0.06,0.19,
15:15:38:551,0.12,0.06,-0.13,0.00,0.06,0.19,
15:15:38:555,0.12,0.06,-0.13,-0.02,0.03,0.18,
15:15:38:557,-0.05,0.17,-0.04,-0.02,0.03,0.18,
15:15:38:559,-0.05,0.17,-0.04,-0.03,-0.00,0.19,
15:15:38:560,-0.13,0.19,0.02,-0.03,-0.00,0.19,
15:15:38:564,-0.01,0.12,0.38,-0.03,-0.00,0.19,
15:15:38:565,-0.01,0.12,0.38,-0.03,-0.02,0.20,
15:15:38:570,0.02,0.09,0.52,-0.03,-0.02,0.20,
15:15:38:571,0.02,0.09,0.52,-0.02,-0.04,0.20,
15:15:38:574,-0.13,0.16,0.33,-0.02,-0.04,0.20,
15:15:38:575,-0.13,0.16,0.33,0.00,-0.03,0.20,
15:15:38:579,0.47,0.16,0.42,0.00,-0.03,0.20,
15:15:38:580,0.47,0.16,0.42,0.02,-0.02,0.21,
15:15:38:583,1.06,0.18,0.28,0.02,-0.02,0.21,
15:15:38:583,1.06,0.18,0.28,0.04,-0.01,0.19,
15:15:38:600,0.95,0.19,-0.14,0.04,-0.01,0.19,
15:15:38:601,0.95,0.19,-0.14,0.04,-0.02,0.14,
15:15:38:602,0.61,0.10,-0.28,0.04,-0.02,0.14,
15:15:38:603,0.61,0.10,-0.28,0.02,-0.04,0.12,
15:15:38:603,0.46,-0.04,-0.38,0.02,-0.04,0.12,
15:15:38:604,0.46,-0.04,-0.38,-0.01,-0.08,0.11,
15:15:38:617,0.46,-0.04,-0.38,-0.05,-0.13,0.10,
15:15:38:618,0.54,-0.28,-0.53,-0.05,-0.13,0.10,
15:15:38:619,0.54,-0.28,-0.53,-0.09,-0.18,0.07,
15:15:38:620,0.49,-0.46,-0.65,-0.09,-0.18,0.07,
15:15:38:620,0.49,-0.46,-0.65,-0.12,-0.21,0.04,
15:15:38:621,0.31,-0.45,-0.54,-0.12,-0.21,0.04,
